Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (65 a 69 anos + 70 a 74 anos + 75 a 79 anos + 80 a 89 anos + 90 a 99 anos + 100 anos ou mais);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Bairro;
1301704003;São Pedro - Humaitá (AM);76
1301704004;São Sebastião - Humaitá (AM);55
1301704005;São Francisco - Humaitá (AM);216
1301704006;Santo Antônio - Humaitá (AM);135
1301704007;Novo Centenário - Humaitá (AM);82
1301704008;São José - Humaitá (AM);67
1301704009;Centro - Humaitá (AM);130
1301704010;São Cristóvão - Humaitá (AM);158
1301704011;Nossa Senhora do Carmo - Humaitá (AM);105
1301704012;Divino Pranto - Humaitá (AM);83
1301704013;Nova Esperança - Humaitá (AM);12
1301902001;Centro - Itacoatiara (AM);285
1301902002;Colônia - Itacoatiara (AM);246
1301902003;Jauary - Itacoatiara (AM);418
1301902004;Prainha - Itacoatiara (AM);138
1301902005;Pedreiras - Itacoatiara (AM);93
1301902006;Do Iracy - Itacoatiara (AM);264
1301902007;Santa Luzia - Itacoatiara (AM);152
1301902008;São Jorge - Itacoatiara (AM);102
1301902009;Santo Antônio - Itacoatiara (AM);232
1301902010;Araújo Costa - Itacoatiara (AM);135
1301902011;São Cristóvão - Itacoatiara (AM);110
1301902012;São Francisco - Itacoatiara (AM);147
1301902013;Tiradentes - Itacoatiara (AM);62
1301902014;Canacari - Itacoatiara (AM);...
1301902015;Florestal - Itacoatiara (AM);16
1301902016;da Paz - Itacoatiara (AM);38
1301902017;Eduardo Braga I - Itacoatiara (AM);81
1301902018;Eduardo Braga II - Itacoatiara (AM);61
1301902019;Mamoud Amed - Itacoatiara (AM);124
1301902020;Jauary II - Itacoatiara (AM);80
1301902021;Jardim Adriana - Itacoatiara (AM);21
1301902022;Mutirão - Itacoatiara (AM);32
1301902023;Nogueira Junior - Itacoatiara (AM);39
1301902024;Jardim Lorena - Itacoatiara (AM);6
1301902025;Centenário - Itacoatiara (AM);6
1302405001;Bairro da Fonte - Lábrea (AM);275
1302405002;Centro - Lábrea (AM);258
1302405003;São José - Lábrea (AM);90
1302405004;Barra Limpa - Lábrea (AM);118
1302405005;Nossa Senhora de Fátima - Lábrea (AM);143
1302405006;Vila Falcão - Lábrea (AM);201
1302405007;Pantanal - Lábrea (AM);79
1302405008;Bairro Novo - Lábrea (AM);10
1302504001;Centro - Manacapuru (AM);490
1302504002;Aparecida - Manacapuru (AM);248
1302504003;Biribiri - Manacapuru (AM);185
1302504004;Liberdade - Manacapuru (AM);570
1302504005;Morada do Sol - Manacapuru (AM);117
1302504006;São Francisco - Manacapuru (AM);329
1302504007;São José - Manacapuru (AM);394
1302504008;Terra Preta - Manacapuru (AM);267
1302504009;União - Manacapuru (AM);148
1302504010;Correnteza - Manacapuru (AM);186
1302504011;Nova Manacá - Manacapuru (AM);128
1302603001;Centro - Manaus (AM);2861
1302603002;Nossa Senhora Aparecida - Manaus (AM);592
1302603003;Presidente Vargas - Manaus (AM);578
1302603004;Praça 14 de Janeiro - Manaus (AM);821
1302603005;Cachoeirinha - Manaus (AM);1348
1302603006;São Raimundo - Manaus (AM);1067
1302603007;Glória - Manaus (AM);544
1302603008;Santo Antônio - Manaus (AM);1169
1302603009;Vila da Prata - Manaus (AM);561
1302603010;Compensa - Manaus (AM);3234
1302603011;São Jorge - Manaus (AM);1491
1302603012;Santo Agostinho - Manaus (AM);496
1302603013;Nova Esperança - Manaus (AM);650
1302603014;Lírio do Vale - Manaus (AM);743
1302603015;Planalto - Manaus (AM);819
1302603016;Alvorada - Manaus (AM);3298
1302603017;Redenção - Manaus (AM);1257
1302603018;Da Paz - Manaus (AM);548
1302603019;Raiz - Manaus (AM);976
1302603020;São Francisco - Manaus (AM);990
1302603021;Petrópolis - Manaus (AM);1842
1302603022;Japiim - Manaus (AM);2784
1302603023;Coroado - Manaus (AM);1981
1302603024;Educandos - Manaus (AM);983
1302603025;Santa Luzia - Manaus (AM);500
1302603026;Morro da Liberdade - Manaus (AM);742
1302603027;Betânia - Manaus (AM);593
1302603028;Colônia Oliveira Machado - Manaus (AM);463
1302603029;São Lázaro - Manaus (AM);573
1302603030;Crespo - Manaus (AM);536
1302603031;Vila Buriti - Manaus (AM);20
1302603032;Distrito Industrial I - Manaus (AM);85
1302603033;Mauazinho - Manaus (AM);597
1302603034;Colônia Antônio Aleixo - Manaus (AM);708
1302603035;Puraquequara - Manaus (AM);205
1302603036;Dom Pedro I - Manaus (AM);1125
1302603037;Flores - Manaus (AM);1547
1302603038;Parque 10 de Novembro - Manaus (AM);2777
1302603039;Aleixo - Manaus (AM);1072
1302603040;Adrianópolis - Manaus (AM);777
1302603041;Nossa Senhora das Graças - Manaus (AM);1300
1302603042;São Geraldo - Manaus (AM);453
1302603043;Chapada - Manaus (AM);617
1302603044;Colônia Santo Antônio - Manaus (AM);501
1302603045;Novo Israel - Manaus (AM);473
1302603046;Colônia Terra Nova - Manaus (AM);1060
1302603047;Santa Etelvina - Manaus (AM);698
1302603048;Monte das Oliveiras - Manaus (AM);885
1302603049;Cidade Nova - Manaus (AM);3844
1302603050;Ponta Negra - Manaus (AM);201
1302603051;Tarumã - Manaus (AM);545
1302603052;Armando Mendes - Manaus (AM);775
1302603053;Zumbi dos Palmares - Manaus (AM);911
1302603054;São José Operário - Manaus (AM);2265
1302603055;Tancredo Neves - Manaus (AM);1159
1302603056;Jorge Teixeira - Manaus (AM);2750
1302603057;Distrito Industrial II - Manaus (AM);102
1302603058;Novo Aleixo - Manaus (AM);2734
1302603059;Cidade de Deus - Manaus (AM);1421
1302603060;Nova Cidade - Manaus (AM);1300
1302603061;Tarumã-Açu - Manaus (AM);272
1302603062;Gilberto Mestrinho - Manaus (AM);985
1302603063;Lago Azul - Manaus (AM);210
1302702001;Santa Luzia - Manicoré (AM);286
1302702002;Dom Bosco - Manicoré (AM);112
1302702003;Rocinha - Manicoré (AM);7
1302702004;Manicorezinho - Manicoré (AM);52
1302702005;Auxiliadora - Manicoré (AM);175
1302702006;Mazzarelo - Manicoré (AM);62
1302702007;Nossa Senhora do Rosário - Manicoré (AM);102
1302702008;São Domingos Sávio - Manicoré (AM);68
1302702009;Colônia da Ribeira - Manicoré (AM);44
1302702010;Centro - Manicoré (AM);183
1302702011;Ipasea - Manicoré (AM);13
1302900001;Mário Fonseca - Maués (AM);114
1302900002;Centro - Maués (AM);318
1302900003;Ramalho Júnior - Maués (AM);290
1302900004;Maresia - Maués (AM);155
1302900005;Santa Luzia - Maués (AM);295
1302900006;Santa Tereza - Maués (AM);29
1302900007;Do eden - Maués (AM);50
1302900008;Donga Michiles - Maués (AM);142
1302900009;Novo Bairro - Maués (AM);6
1303106001;Vale do Sol - Nova Olinda do Norte (AM);84
1303106002;Santa Maria - Nova Olinda do Norte (AM);104
1303106003;Chicolândia - Nova Olinda do Norte (AM);84
1303106004;Santa Luzia - Nova Olinda do Norte (AM);178
1303106005;Nossa Senhora de Fátima - Nova Olinda do Norte (AM);94
1303106006;Aerolândia - Nova Olinda do Norte (AM);84
1303106007;Centro - Nova Olinda do Norte (AM);144
1303304001;Centro - Novo Aripuanã (AM);196
1303304002;Dos Trabalhadores - Novo Aripuanã (AM);60
1303304003;Tv - Novo Aripuanã (AM);81
1303304004;Japiim - Novo Aripuanã (AM);134
1303304005;Nossa Senhora da Conceição - Novo Aripuanã (AM);216
1303403001;Centro - Parintins (AM);544
1303403002;Francesa - Parintins (AM);244
1303403003;Santa Clara - Parintins (AM);162
1303403004;Raimundo Muniz - Parintins (AM);37
1303403005;Santa Rita - Parintins (AM);114
1303403006;Palmares - Parintins (AM);502
1303403007;Nossa Senhora de Nazaré - Parintins (AM);214
1303403008;São Vicente de Paula - Parintins (AM);82
1303403009;Emílio Moreira - Parintins (AM);45
1303403010;Vitória Régia - Parintins (AM);82
1303403011;São Benedito - Parintins (AM);389
1303403012;São José - Parintins (AM);183
1303403013;João Novo - Parintins (AM);18
1303403014;Dejard Vieira - Parintins (AM);66
1303403015;Distrito Industrial - Parintins (AM);..
1303403016;Itaúna I - Parintins (AM);195
1303403017;Jacareacanga - Parintins (AM);4
1303403018;Paulo Corrêa - Parintins (AM);318
1303403019;Itaúna II - Parintins (AM);263
1303403020;Castanheira - Parintins (AM);14
1303536001;Centro - Presidente Figueiredo (AM);21
1303536002;Honório Roldão - Presidente Figueiredo (AM);37
1303536003;Tancredo Neves - Presidente Figueiredo (AM);40
1303536004;Urubuí - Presidente Figueiredo (AM);6
1303536005;José Dutra - Presidente Figueiredo (AM);23
1303536006;Morada do Sol - Presidente Figueiredo (AM);26
1303536007;Sol Nascente - Presidente Figueiredo (AM);24
1303536008;Aida Mendonça - Presidente Figueiredo (AM);28
1303536009;Orquídeas - Presidente Figueiredo (AM);13
1303536010;Galo da Serra - Presidente Figueiredo (AM);25
1303536011;Maruaga - Presidente Figueiredo (AM);1
1303536012;Waimiri - Presidente Figueiredo (AM);11
1303536013;Atroari - Presidente Figueiredo (AM);22
1303700001;Centro - Santo Antônio do Içá (AM);64
1303700002;Franco - Santo Antônio do Içá (AM);10
1303700003;Independência - Santo Antônio do Içá (AM);48
1303700004;Presidente Vargas - Santo Antônio do Içá (AM);31
1303700005;Pataquira - Santo Antônio do Içá (AM);4
1303700006;Taboca - Santo Antônio do Içá (AM);34
1303700007;São Francisco - Santo Antônio do Içá (AM);41
1303700008;Alvaro Maia - Santo Antônio do Içá (AM);62
1303700009;Planalto - Santo Antônio do Içá (AM);12
1303700010;Santa Etelvina - Santo Antônio do Içá (AM);54
1303700011;Campina - Santo Antônio do Içá (AM);70
1303700012;Tarauacá - Santo Antônio do Içá (AM);29
1303908001;Centro - São Paulo de Olivença (AM);36
1303908002;Santa Terezinha - São Paulo de Olivença (AM);114
1303908003;Benjamin Constant - São Paulo de Olivença (AM);16
1303908004;de Campinas - São Paulo de Olivença (AM);92
1303908005;Nosso Senhor do Bonfin - São Paulo de Olivença (AM);63
1303908006;São João - São Paulo de Olivença (AM);76
