"Tabela 3573 - Pessoas de 10 anos ou mais de idade, por condição de atividade e de ocupação na semana de referência, segundo o sexo, a condição no domicílio e o compartilhamento da responsabilidade pelo domicílio, a naturalidade em relação ao município e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"4300455","Alegria (RS)","Total","Total","22"
"4300471","Almirante Tamandaré do Sul (RS)","Total","Total","14"
"4300505","Alpestre (RS)","Total","Total","14"
"4300554","Alto Alegre (RS)","Total","Total","15"
"4300570","Alto Feliz (RS)","Total","Total","22"
"4300604","Alvorada (RS)","Total","Total","7599"
"4300638","Amaral Ferrador (RS)","Total","Total","25"
"4300646","Ametista do Sul (RS)","Total","Total","176"
"4300661","André da Rocha (RS)","Total","Total","5"
"4300703","Anta Gorda (RS)","Total","Total","35"
"4300802","Antônio Prado (RS)","Total","Total","207"
"4300851","Arambaré (RS)","Total","Total","94"
"4300877","Araricá (RS)","Total","Total","87"
"4300901","Aratiba (RS)","Total","Total","59"
"4301008","Arroio do Meio (RS)","Total","Total","285"
"4301057","Arroio do Sal (RS)","Total","Total","297"
"4301073","Arroio do Padre (RS)","Total","Total","20"
"4301107","Arroio dos Ratos (RS)","Total","Total","518"
"4301206","Arroio do Tigre (RS)","Total","Total","123"
"4301305","Arroio Grande (RS)","Total","Total","629"
"4301404","Arvorezinha (RS)","Total","Total","106"
"4301503","Augusto Pestana (RS)","Total","Total","75"
"4301552","Áurea (RS)","Total","Total","23"
"4301602","Bagé (RS)","Total","Total","4677"
"4301636","Balneário Pinhal (RS)","Total","Total","362"
"4301651","Barão (RS)","Total","Total","49"
"4301701","Barão de Cotegipe (RS)","Total","Total","73"
"4301750","Barão do Triunfo (RS)","Total","Total","64"
"4301800","Barracão (RS)","Total","Total","76"
"4301859","Barra do Guarita (RS)","Total","Total","82"
"4301875","Barra do Quaraí (RS)","Total","Total","144"
"4301909","Barra do Ribeiro (RS)","Total","Total","412"
"4301925","Barra do Rio Azul (RS)","Total","Total","9"
"4301958","Barra Funda (RS)","Total","Total","18"
"4302006","Barros Cassal (RS)","Total","Total","86"
"4302055","Benjamin Constant do Sul (RS)","Total","Total","8"
"4302105","Bento Gonçalves (RS)","Total","Total","1893"
"4302154","Boa Vista das Missões (RS)","Total","Total","41"
"4302204","Boa Vista do Buricá (RS)","Total","Total","35"
"4302220","Boa Vista do Cadeado (RS)","Total","Total","-"
"4302238","Boa Vista do Incra (RS)","Total","Total","22"
"4302253","Boa Vista do Sul (RS)","Total","Total","9"
"4302303","Bom Jesus (RS)","Total","Total","193"
"4302352","Bom Princípio (RS)","Total","Total","113"
"4302378","Bom Progresso (RS)","Total","Total","44"
"4302402","Bom Retiro do Sul (RS)","Total","Total","153"
"4302451","Boqueirão do Leão (RS)","Total","Total","18"
"4302501","Bossoroca (RS)","Total","Total","205"
"4302584","Bozano (RS)","Total","Total","7"
"4302600","Braga (RS)","Total","Total","48"
"4302659","Brochier (RS)","Total","Total","23"
"4302709","Butiá (RS)","Total","Total","1286"
"4302808","Caçapava do Sul (RS)","Total","Total","1052"
"4302907","Cacequi (RS)","Total","Total","529"
"4303004","Cachoeira do Sul (RS)","Total","Total","3184"
"4303103","Cachoeirinha (RS)","Total","Total","4337"
"4303202","Cacique Doble (RS)","Total","Total","17"
"4303301","Caibaté (RS)","Total","Total","112"
"4303400","Caiçara (RS)","Total","Total","15"
"4303509","Camaquã (RS)","Total","Total","1566"
"4303558","Camargo (RS)","Total","Total","29"
"4303608","Cambará do Sul (RS)","Total","Total","113"
"4303673","Campestre da Serra (RS)","Total","Total","38"
"4303707","Campina das Missões (RS)","Total","Total","46"
"4303806","Campinas do Sul (RS)","Total","Total","108"
"4303905","Campo Bom (RS)","Total","Total","1198"
"4304002","Campo Novo (RS)","Total","Total","78"
"4304101","Campos Borges (RS)","Total","Total","93"
"4304200","Candelária (RS)","Total","Total","388"
"4304309","Cândido Godói (RS)","Total","Total","59"
"4304358","Candiota (RS)","Total","Total","261"
"4304408","Canela (RS)","Total","Total","879"
"4304507","Canguçu (RS)","Total","Total","978"
"4304606","Canoas (RS)","Total","Total","10967"
"4304614","Canudos do Vale (RS)","Total","Total","8"
"4304622","Capão Bonito do Sul (RS)","Total","Total","9"
"4304630","Capão da Canoa (RS)","Total","Total","1419"
"4304655","Capão do Cipó (RS)","Total","Total","29"
"4304663","Capão do Leão (RS)","Total","Total","921"
"4304671","Capivari do Sul (RS)","Total","Total","75"
"4304689","Capela de Santana (RS)","Total","Total","306"
"4304697","Capitão (RS)","Total","Total","4"
"4304705","Carazinho (RS)","Total","Total","2039"
"4304713","Caraá (RS)","Total","Total","34"
"4304804","Carlos Barbosa (RS)","Total","Total","411"
"4304853","Carlos Gomes (RS)","Total","Total","8"
"4304903","Casca (RS)","Total","Total","50"
"4304952","Caseiros (RS)","Total","Total","10"
"4305009","Catuípe (RS)","Total","Total","220"
"4305108","Caxias do Sul (RS)","Total","Total","10327"
"4305116","Centenário (RS)","Total","Total","18"
"4305124","Cerrito (RS)","Total","Total","144"
"4305132","Cerro Branco (RS)","Total","Total","31"
"4305157","Cerro Grande (RS)","Total","Total","12"
"4305173","Cerro Grande do Sul (RS)","Total","Total","55"
"4305207","Cerro Largo (RS)","Total","Total","328"
"4305306","Chapada (RS)","Total","Total","105"
"4305355","Charqueadas (RS)","Total","Total","1074"
"4305371","Charrua (RS)","Total","Total","16"
"4305405","Chiapetta (RS)","Total","Total","58"
"4305439","Chuí (RS)","Total","Total","134"
"4305447","Chuvisca (RS)","Total","Total","17"
"4305454","Cidreira (RS)","Total","Total","376"
"4305504","Ciríaco (RS)","Total","Total","78"
"4305587","Colinas (RS)","Total","Total","24"
"4305603","Colorado (RS)","Total","Total","104"
"4305702","Condor (RS)","Total","Total","127"
"4305801","Constantina (RS)","Total","Total","261"
"4305835","Coqueiro Baixo (RS)","Total","Total","-"
"4305850","Coqueiros do Sul (RS)","Total","Total","21"
"4305871","Coronel Barros (RS)","Total","Total","28"
"4305900","Coronel Bicaco (RS)","Total","Total","240"
"4305934","Coronel Pilar (RS)","Total","Total","6"
"4305959","Cotiporã (RS)","Total","Total","14"
"4305975","Coxilha (RS)","Total","Total","21"
"4306007","Crissiumal (RS)","Total","Total","143"
"4306056","Cristal (RS)","Total","Total","186"
"4306072","Cristal do Sul (RS)","Total","Total","27"
"4306106","Cruz Alta (RS)","Total","Total","1661"
"4306130","Cruzaltense (RS)","Total","Total","21"
"4306205","Cruzeiro do Sul (RS)","Total","Total","184"
"4306304","David Canabarro (RS)","Total","Total","22"
"4306320","Derrubadas (RS)","Total","Total","8"
"4306353","Dezesseis de Novembro (RS)","Total","Total","39"
"4306379","Dilermando de Aguiar (RS)","Total","Total","33"
"4306403","Dois Irmãos (RS)","Total","Total","333"
"4306429","Dois Irmãos das Missões (RS)","Total","Total","7"
"4306452","Dois Lajeados (RS)","Total","Total","25"
"4306502","Dom Feliciano (RS)","Total","Total","98"
"4306551","Dom Pedro de Alcântara (RS)","Total","Total","28"
"4306601","Dom Pedrito (RS)","Total","Total","1001"
"4306700","Dona Francisca (RS)","Total","Total","50"
"4306734","Doutor Maurício Cardoso (RS)","Total","Total","99"
"4306759","Doutor Ricardo (RS)","Total","Total","9"
"4306767","Eldorado do Sul (RS)","Total","Total","1113"
"4306809","Encantado (RS)","Total","Total","510"
"4306908","Encruzilhada do Sul (RS)","Total","Total","621"
"4306924","Engenho Velho (RS)","Total","Total","25"
"4306932","Entre-Ijuís (RS)","Total","Total","97"
"4306957","Entre Rios do Sul (RS)","Total","Total","29"
"4306973","Erebango (RS)","Total","Total","39"
"4307005","Erechim (RS)","Total","Total","1564"
"4307054","Ernestina (RS)","Total","Total","48"
"4307104","Herval (RS)","Total","Total","216"
"4307203","Erval Grande (RS)","Total","Total","71"
"4307302","Erval Seco (RS)","Total","Total","207"
"4307401","Esmeralda (RS)","Total","Total","58"
"4307450","Esperança do Sul (RS)","Total","Total","15"
"4307500","Espumoso (RS)","Total","Total","349"
"4307559","Estação (RS)","Total","Total","167"
"4307609","Estância Velha (RS)","Total","Total","1012"
"4307708","Esteio (RS)","Total","Total","2535"
"4307807","Estrela (RS)","Total","Total","565"
"4307815","Estrela Velha (RS)","Total","Total","8"
"4307831","Eugênio de Castro (RS)","Total","Total","55"
"4307864","Fagundes Varela (RS)","Total","Total","9"
"4307906","Farroupilha (RS)","Total","Total","1245"
"4308003","Faxinal do Soturno (RS)","Total","Total","145"
"4308052","Faxinalzinho (RS)","Total","Total","40"
"4308078","Fazenda Vilanova (RS)","Total","Total","69"
"4308102","Feliz (RS)","Total","Total","162"
"4308201","Flores da Cunha (RS)","Total","Total","618"
"4308250","Floriano Peixoto (RS)","Total","Total","6"
"4308300","Fontoura Xavier (RS)","Total","Total","170"
"4308409","Formigueiro (RS)","Total","Total","107"
"4308433","Forquetinha (RS)","Total","Total","8"
"4308458","Fortaleza dos Valos (RS)","Total","Total","62"
"4308508","Frederico Westphalen (RS)","Total","Total","695"
"4308607","Garibaldi (RS)","Total","Total","485"
"4308656","Garruchos (RS)","Total","Total","58"
"4308706","Gaurama (RS)","Total","Total","45"
"4308805","General Câmara (RS)","Total","Total","207"
"4308854","Gentil (RS)","Total","Total","6"
"4308904","Getúlio Vargas (RS)","Total","Total","320"
"4309001","Giruá (RS)","Total","Total","283"
"4309050","Glorinha (RS)","Total","Total","140"
"4309100","Gramado (RS)","Total","Total","564"
"4309126","Gramado dos Loureiros (RS)","Total","Total","23"
"4309159","Gramado Xavier (RS)","Total","Total","-"
"4309209","Gravataí (RS)","Total","Total","9465"
"4309258","Guabiju (RS)","Total","Total","28"
"4309308","Guaíba (RS)","Total","Total","3438"
"4309407","Guaporé (RS)","Total","Total","197"
"4309506","Guarani das Missões (RS)","Total","Total","239"
"4309555","Harmonia (RS)","Total","Total","46"
"4309571","Herveiras (RS)","Total","Total","1"
"4309605","Horizontina (RS)","Total","Total","411"
"4309654","Hulha Negra (RS)","Total","Total","145"
"4309704","Humaitá (RS)","Total","Total","58"
"4309753","Ibarama (RS)","Total","Total","11"
"4309803","Ibiaçá (RS)","Total","Total","56"
"4309902","Ibiraiaras (RS)","Total","Total","97"
"4309951","Ibirapuitã (RS)","Total","Total","13"
"4310009","Ibirubá (RS)","Total","Total","441"
"4310108","Igrejinha (RS)","Total","Total","351"
"4310207","Ijuí (RS)","Total","Total","2021"
"4310306","Ilópolis (RS)","Total","Total","47"
"4310330","Imbé (RS)","Total","Total","495"
"4310363","Imigrante (RS)","Total","Total","16"
"4310405","Independência (RS)","Total","Total","101"
"4310413","Inhacorá (RS)","Total","Total","41"
"4310439","Ipê (RS)","Total","Total","83"
"4310462","Ipiranga do Sul (RS)","Total","Total","19"
"4310504","Iraí (RS)","Total","Total","81"
"4310538","Itaara (RS)","Total","Total","137"
"4310553","Itacurubi (RS)","Total","Total","4"
"4310579","Itapuca (RS)","Total","Total","-"
"4310603","Itaqui (RS)","Total","Total","1174"
"4310652","Itati (RS)","Total","Total","36"
"4310702","Itatiba do Sul (RS)","Total","Total","9"
"4310751","Ivorá (RS)","Total","Total","22"
"4310801","Ivoti (RS)","Total","Total","421"
"4310850","Jaboticaba (RS)","Total","Total","50"
"4310876","Jacuizinho (RS)","Total","Total","10"
"4310900","Jacutinga (RS)","Total","Total","85"
"4311007","Jaguarão (RS)","Total","Total","839"
"4311106","Jaguari (RS)","Total","Total","194"
"4311122","Jaquirana (RS)","Total","Total","48"
"4311130","Jari (RS)","Total","Total","46"
"4311155","Jóia (RS)","Total","Total","68"
"4311205","Júlio de Castilhos (RS)","Total","Total","642"
"4311239","Lagoa Bonita do Sul (RS)","Total","Total","12"
"4311254","Lagoão (RS)","Total","Total","39"
"4311270","Lagoa dos Três Cantos (RS)","Total","Total","9"
"4311304","Lagoa Vermelha (RS)","Total","Total","521"
"4311403","Lajeado (RS)","Total","Total","1528"
"4311429","Lajeado do Bugre (RS)","Total","Total","30"
"4311502","Lavras do Sul (RS)","Total","Total","212"
"4311601","Liberato Salzano (RS)","Total","Total","46"
"4311627","Lindolfo Collor (RS)","Total","Total","94"
"4311643","Linha Nova (RS)","Total","Total","7"
"4311700","Machadinho (RS)","Total","Total","67"
"4311718","Maçambará (RS)","Total","Total","96"
"4311734","Mampituba (RS)","Total","Total","19"
"4311759","Manoel Viana (RS)","Total","Total","152"
"4311775","Maquiné (RS)","Total","Total","59"
"4311791","Maratá (RS)","Total","Total","3"
"4311809","Marau (RS)","Total","Total","570"
"4311908","Marcelino Ramos (RS)","Total","Total","57"
"4311981","Mariana Pimentel (RS)","Total","Total","43"
"4312005","Mariano Moro (RS)","Total","Total","10"
"4312054","Marques de Souza (RS)","Total","Total","38"
"4312104","Mata (RS)","Total","Total","21"
"4312138","Mato Castelhano (RS)","Total","Total","3"
"4312153","Mato Leitão (RS)","Total","Total","47"
"4312179","Mato Queimado (RS)","Total","Total","10"
"4312203","Maximiliano de Almeida (RS)","Total","Total","65"
"4312252","Minas do Leão (RS)","Total","Total","184"
"4312302","Miraguaí (RS)","Total","Total","74"
"4312351","Montauri (RS)","Total","Total","-"
"4312377","Monte Alegre dos Campos (RS)","Total","Total","17"
"4312385","Monte Belo do Sul (RS)","Total","Total","14"
"4312401","Montenegro (RS)","Total","Total","2040"
"4312427","Mormaço (RS)","Total","Total","15"
"4312443","Morrinhos do Sul (RS)","Total","Total","25"
"4312450","Morro Redondo (RS)","Total","Total","230"
"4312476","Morro Reuter (RS)","Total","Total","52"
"4312500","Mostardas (RS)","Total","Total","449"
"4312609","Muçum (RS)","Total","Total","47"
"4312617","Muitos Capões (RS)","Total","Total","35"
"4312625","Muliterno (RS)","Total","Total","10"
"4312658","Não-Me-Toque (RS)","Total","Total","273"
"4312674","Nicolau Vergueiro (RS)","Total","Total","22"
"4312708","Nonoai (RS)","Total","Total","255"
"4312757","Nova Alvorada (RS)","Total","Total","6"
"4312807","Nova Araçá (RS)","Total","Total","25"
"4312906","Nova Bassano (RS)","Total","Total","121"
"4312955","Nova Boa Vista (RS)","Total","Total","12"
"4313003","Nova Bréscia (RS)","Total","Total","12"
"4313011","Nova Candelária (RS)","Total","Total","9"
"4313037","Nova Esperança do Sul (RS)","Total","Total","71"
"4313060","Nova Hartz (RS)","Total","Total","150"
"4313086","Nova Pádua (RS)","Total","Total","11"
"4313102","Nova Palma (RS)","Total","Total","13"
"4313201","Nova Petrópolis (RS)","Total","Total","256"
"4313300","Nova Prata (RS)","Total","Total","423"
"4313334","Nova Ramada (RS)","Total","Total","8"
"4313359","Nova Roma do Sul (RS)","Total","Total","34"
"4313375","Nova Santa Rita (RS)","Total","Total","731"
"4313391","Novo Cabrais (RS)","Total","Total","49"
"4313409","Novo Hamburgo (RS)","Total","Total","6486"
"4313425","Novo Machado (RS)","Total","Total","38"
"4313441","Novo Tiradentes (RS)","Total","Total","8"
"4313466","Novo Xingu (RS)","Total","Total","9"
"4313490","Novo Barreiro (RS)","Total","Total","41"
"4313508","Osório (RS)","Total","Total","1341"
"4313607","Paim Filho (RS)","Total","Total","14"
"4313656","Palmares do Sul (RS)","Total","Total","322"
"4313706","Palmeira das Missões (RS)","Total","Total","1215"
"4313805","Palmitinho (RS)","Total","Total","61"
"4313904","Panambi (RS)","Total","Total","1021"
"4313953","Pantano Grande (RS)","Total","Total","299"
"4314001","Paraí (RS)","Total","Total","119"
"4314027","Paraíso do Sul (RS)","Total","Total","83"
"4314035","Pareci Novo (RS)","Total","Total","17"
"4314050","Parobé (RS)","Total","Total","720"
"4314068","Passa Sete (RS)","Total","Total","17"
"4314076","Passo do Sobrado (RS)","Total","Total","29"
"4314100","Passo Fundo (RS)","Total","Total","4228"
"4314134","Paulo Bento (RS)","Total","Total","16"
"4314159","Paverama (RS)","Total","Total","77"
"4314175","Pedras Altas (RS)","Total","Total","63"
"4314209","Pedro Osório (RS)","Total","Total","360"
"4314308","Pejuçara (RS)","Total","Total","39"
"4314407","Pelotas (RS)","Total","Total","12236"
"4314423","Picada Café (RS)","Total","Total","52"
"4314456","Pinhal (RS)","Total","Total","30"
"4314464","Pinhal da Serra (RS)","Total","Total","20"
"4314472","Pinhal Grande (RS)","Total","Total","30"
"4314498","Pinheirinho do Vale (RS)","Total","Total","40"
"4314506","Pinheiro Machado (RS)","Total","Total","293"
"4314555","Pirapó (RS)","Total","Total","25"
"4314605","Piratini (RS)","Total","Total","578"
"4314704","Planalto (RS)","Total","Total","183"
"4314753","Poço das Antas (RS)","Total","Total","2"
"4314779","Pontão (RS)","Total","Total","34"
"4314787","Ponte Preta (RS)","Total","Total","14"
"4314803","Portão (RS)","Total","Total","686"
"4314902","Porto Alegre (RS)","Total","Total","42753"
"4315008","Porto Lucena (RS)","Total","Total","54"
"4315057","Porto Mauá (RS)","Total","Total","12"
"4315073","Porto Vera Cruz (RS)","Total","Total","14"
"4315107","Porto Xavier (RS)","Total","Total","141"
"4315131","Pouso Novo (RS)","Total","Total","9"
"4315149","Presidente Lucena (RS)","Total","Total","11"
"4315156","Progresso (RS)","Total","Total","24"
"4315172","Protásio Alves (RS)","Total","Total","8"
"4315206","Putinga (RS)","Total","Total","92"
"4315305","Quaraí (RS)","Total","Total","663"
"4315313","Quatro Irmãos (RS)","Total","Total","33"
"4315321","Quevedos (RS)","Total","Total","18"
"4315354","Quinze de Novembro (RS)","Total","Total","48"
"4315404","Redentora (RS)","Total","Total","159"
"4315453","Relvado (RS)","Total","Total","8"
"4315503","Restinga Sêca (RS)","Total","Total","316"
"4315552","Rio dos Índios (RS)","Total","Total","46"
"4315602","Rio Grande (RS)","Total","Total","7774"
"4315701","Rio Pardo (RS)","Total","Total","852"
"4315750","Riozinho (RS)","Total","Total","43"
"4315800","Roca Sales (RS)","Total","Total","142"
"4315909","Rodeio Bonito (RS)","Total","Total","74"
"4315958","Rolador (RS)","Total","Total","17"
"4316006","Rolante (RS)","Total","Total","198"
"4316105","Ronda Alta (RS)","Total","Total","163"
"4316204","Rondinha (RS)","Total","Total","93"
"4316303","Roque Gonzales (RS)","Total","Total","82"
"4316402","Rosário do Sul (RS)","Total","Total","1193"
"4316428","Sagrada Família (RS)","Total","Total","34"
"4316436","Saldanha Marinho (RS)","Total","Total","78"
"4316451","Salto do Jacuí (RS)","Total","Total","294"
"4316477","Salvador das Missões (RS)","Total","Total","31"
"4316501","Salvador do Sul (RS)","Total","Total","72"
"4316600","Sananduva (RS)","Total","Total","217"
"4316709","Santa Bárbara do Sul (RS)","Total","Total","169"
"4316733","Santa Cecília do Sul (RS)","Total","Total","13"
"4316758","Santa Clara do Sul (RS)","Total","Total","63"
"4316808","Santa Cruz do Sul (RS)","Total","Total","2800"
"4316907","Santa Maria (RS)","Total","Total","8059"
"4316956","Santa Maria do Herval (RS)","Total","Total","11"
"4316972","Santa Margarida do Sul (RS)","Total","Total","16"
"4317004","Santana da Boa Vista (RS)","Total","Total","116"
"4317103","Sant'Ana do Livramento (RS)","Total","Total","2889"
"4317202","Santa Rosa (RS)","Total","Total","1820"
"4317251","Santa Tereza (RS)","Total","Total","22"
"4317301","Santa Vitória do Palmar (RS)","Total","Total","1091"
"4317400","Santiago (RS)","Total","Total","1482"
"4317509","Santo Ângelo (RS)","Total","Total","2235"
"4317558","Santo Antônio do Palma (RS)","Total","Total","11"
"4317608","Santo Antônio da Patrulha (RS)","Total","Total","554"
"4317707","Santo Antônio das Missões (RS)","Total","Total","374"
"4317756","Santo Antônio do Planalto (RS)","Total","Total","49"
"4317806","Santo Augusto (RS)","Total","Total","435"
"4317905","Santo Cristo (RS)","Total","Total","202"
"4317954","Santo Expedito do Sul (RS)","Total","Total","36"
"4318002","São Borja (RS)","Total","Total","2142"
"4318051","São Domingos do Sul (RS)","Total","Total","6"
"4318101","São Francisco de Assis (RS)","Total","Total","548"
"4318200","São Francisco de Paula (RS)","Total","Total","387"
"4318309","São Gabriel (RS)","Total","Total","2564"
"4318408","São Jerônimo (RS)","Total","Total","695"
"4318424","São João da Urtiga (RS)","Total","Total","31"
"4318432","São João do Polêsine (RS)","Total","Total","44"
"4318440","São Jorge (RS)","Total","Total","15"
"4318457","São José das Missões (RS)","Total","Total","47"
"4318465","São José do Herval (RS)","Total","Total","17"
"4318481","São José do Hortêncio (RS)","Total","Total","-"
"4318499","São José do Inhacorá (RS)","Total","Total","16"
"4318507","São José do Norte (RS)","Total","Total","838"
"4318606","São José do Ouro (RS)","Total","Total","123"
"4318614","São José do Sul (RS)","Total","Total","8"
"4318622","São José dos Ausentes (RS)","Total","Total","65"
"4318705","São Leopoldo (RS)","Total","Total","8387"
"4318804","São Lourenço do Sul (RS)","Total","Total","1063"
"4318903","São Luiz Gonzaga (RS)","Total","Total","921"
"4319000","São Marcos (RS)","Total","Total","305"
"4319109","São Martinho (RS)","Total","Total","105"
"4319125","São Martinho da Serra (RS)","Total","Total","24"
"4319158","São Miguel das Missões (RS)","Total","Total","130"
"4319208","São Nicolau (RS)","Total","Total","81"
"4319307","São Paulo das Missões (RS)","Total","Total","31"
"4319356","São Pedro da Serra (RS)","Total","Total","18"
"4319364","São Pedro das Missões (RS)","Total","Total","49"
"4319372","São Pedro do Butiá (RS)","Total","Total","14"
"4319406","São Pedro do Sul (RS)","Total","Total","376"
"4319505","São Sebastião do Caí (RS)","Total","Total","643"
"4319604","São Sepé (RS)","Total","Total","602"
"4319703","São Valentim (RS)","Total","Total","44"
"4319711","São Valentim do Sul (RS)","Total","Total","19"
"4319737","São Valério do Sul (RS)","Total","Total","-"
"4319752","São Vendelino (RS)","Total","Total","15"
"4319802","São Vicente do Sul (RS)","Total","Total","324"
"4319901","Sapiranga (RS)","Total","Total","1492"
"4320008","Sapucaia do Sul (RS)","Total","Total","4638"
"4320107","Sarandi (RS)","Total","Total","440"
"4320206","Seberi (RS)","Total","Total","289"
"4320230","Sede Nova (RS)","Total","Total","42"
"4320263","Segredo (RS)","Total","Total","18"
"4320305","Selbach (RS)","Total","Total","120"
"4320321","Senador Salgado Filho (RS)","Total","Total","28"
"4320354","Sentinela do Sul (RS)","Total","Total","73"
"4320404","Serafina Corrêa (RS)","Total","Total","168"
"4320453","Sério (RS)","Total","Total","5"
"4320503","Sertão (RS)","Total","Total","85"
"4320552","Sertão Santana (RS)","Total","Total","97"
"4320578","Sete de Setembro (RS)","Total","Total","18"
"4320602","Severiano de Almeida (RS)","Total","Total","32"
"4320651","Silveira Martins (RS)","Total","Total","22"
"4320677","Sinimbu (RS)","Total","Total","77"
"4320701","Sobradinho (RS)","Total","Total","334"
"4320800","Soledade (RS)","Total","Total","620"
"4320859","Tabaí (RS)","Total","Total","37"
"4320909","Tapejara (RS)","Total","Total","445"
"4321006","Tapera (RS)","Total","Total","248"
"4321105","Tapes (RS)","Total","Total","612"
"4321204","Taquara (RS)","Total","Total","1220"
"4321303","Taquari (RS)","Total","Total","662"
"4321329","Taquaruçu do Sul (RS)","Total","Total","21"
"4321352","Tavares (RS)","Total","Total","16"
"4321402","Tenente Portela (RS)","Total","Total","211"
"4321436","Terra de Areia (RS)","Total","Total","338"
"4321451","Teutônia (RS)","Total","Total","270"
"4321469","Tio Hugo (RS)","Total","Total","19"
"4321477","Tiradentes do Sul (RS)","Total","Total","45"
"4321493","Toropi (RS)","Total","Total","9"
"4321501","Torres (RS)","Total","Total","1195"
"4321600","Tramandaí (RS)","Total","Total","1577"
"4321626","Travesseiro (RS)","Total","Total","-"
"4321634","Três Arroios (RS)","Total","Total","-"
"4321667","Três Cachoeiras (RS)","Total","Total","172"
"4321709","Três Coroas (RS)","Total","Total","251"
"4321808","Três de Maio (RS)","Total","Total","629"
"4321832","Três Forquilhas (RS)","Total","Total","18"
"4321857","Três Palmeiras (RS)","Total","Total","59"
"4321907","Três Passos (RS)","Total","Total","457"
"4321956","Trindade do Sul (RS)","Total","Total","116"
"4322004","Triunfo (RS)","Total","Total","576"
"4322103","Tucunduva (RS)","Total","Total","146"
"4322152","Tunas (RS)","Total","Total","44"
"4322186","Tupanci do Sul (RS)","Total","Total","3"
"4322202","Tupanciretã (RS)","Total","Total","535"
"4322251","Tupandi (RS)","Total","Total","28"
"4322301","Tuparendi (RS)","Total","Total","57"
"4322327","Turuçu (RS)","Total","Total","77"
"4322343","Ubiretama (RS)","Total","Total","14"
"4322350","União da Serra (RS)","Total","Total","8"
"4322376","Unistalda (RS)","Total","Total","50"
"4322400","Uruguaiana (RS)","Total","Total","5160"
"4322509","Vacaria (RS)","Total","Total","1519"
"4322525","Vale Verde (RS)","Total","Total","24"
"4322533","Vale do Sol (RS)","Total","Total","30"
"4322541","Vale Real (RS)","Total","Total","75"
"4322558","Vanini (RS)","Total","Total","22"
"4322608","Venâncio Aires (RS)","Total","Total","862"
"4322707","Vera Cruz (RS)","Total","Total","576"
"4322806","Veranópolis (RS)","Total","Total","463"
"4322855","Vespasiano Corrêa (RS)","Total","Total","7"
"4322905","Viadutos (RS)","Total","Total","38"
"4323002","Viamão (RS)","Total","Total","8505"
"4323101","Vicente Dutra (RS)","Total","Total","38"
"4323200","Victor Graeff (RS)","Total","Total","32"
"4323309","Vila Flores (RS)","Total","Total","22"
"4323358","Vila Lângaro (RS)","Total","Total","6"
"4323408","Vila Maria (RS)","Total","Total","18"
"4323457","Vila Nova do Sul (RS)","Total","Total","113"
"4323507","Vista Alegre (RS)","Total","Total","44"
"4323606","Vista Alegre do Prata (RS)","Total","Total","6"
"4323705","Vista Gaúcha (RS)","Total","Total","23"
"4323754","Vitória das Missões (RS)","Total","Total","20"
"4323770","Westfália (RS)","Total","Total","8"
"4323804","Xangri-lá (RS)","Total","Total","192"
"5000203","Água Clara (MS)","Total","Total","369"
"5000252","Alcinópolis (MS)","Total","Total","86"
"5000609","Amambai (MS)","Total","Total","792"
"5000708","Anastácio (MS)","Total","Total","737"
"5000807","Anaurilândia (MS)","Total","Total","269"
"5000856","Angélica (MS)","Total","Total","274"
"5000906","Antônio João (MS)","Total","Total","178"
"5001003","Aparecida do Taboado (MS)","Total","Total","796"
"5001102","Aquidauana (MS)","Total","Total","1243"
"5001243","Aral Moreira (MS)","Total","Total","128"
"5001508","Bandeirantes (MS)","Total","Total","202"
"5001904","Bataguassu (MS)","Total","Total","693"
"5002001","Batayporã (MS)","Total","Total","300"
"5002100","Bela Vista (MS)","Total","Total","537"
"5002159","Bodoquena (MS)","Total","Total","247"
"5002209","Bonito (MS)","Total","Total","429"
"5002308","Brasilândia (MS)","Total","Total","406"
"5002407","Caarapó (MS)","Total","Total","657"
"5002605","Camapuã (MS)","Total","Total","432"
"5002704","Campo Grande (MS)","Total","Total","28583"
"5002803","Caracol (MS)","Total","Total","72"
"5002902","Cassilândia (MS)","Total","Total","658"
"5002951","Chapadão do Sul (MS)","Total","Total","491"
"5003108","Corguinho (MS)","Total","Total","136"
"5003157","Coronel Sapucaia (MS)","Total","Total","319"
"5003207","Corumbá (MS)","Total","Total","3938"
"5003256","Costa Rica (MS)","Total","Total","573"
"5003306","Coxim (MS)","Total","Total","972"
"5003454","Deodápolis (MS)","Total","Total","383"
"5003488","Dois Irmãos do Buriti (MS)","Total","Total","337"
"5003504","Douradina (MS)","Total","Total","114"
"5003702","Dourados (MS)","Total","Total","5572"
"5003751","Eldorado (MS)","Total","Total","579"
"5003801","Fátima do Sul (MS)","Total","Total","605"
"5003900","Figueirão (MS)","Total","Total","33"
"5004007","Glória de Dourados (MS)","Total","Total","280"
"5004106","Guia Lopes da Laguna (MS)","Total","Total","332"
"5004304","Iguatemi (MS)","Total","Total","564"
"5004403","Inocência (MS)","Total","Total","127"
"5004502","Itaporã (MS)","Total","Total","749"
"5004601","Itaquiraí (MS)","Total","Total","352"
"5004700","Ivinhema (MS)","Total","Total","518"
"5004809","Japorã (MS)","Total","Total","125"
"5004908","Jaraguari (MS)","Total","Total","141"
