"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2203909037","Taboca - Floriano (PI)","Total","Total","83","8","13","18","14","13","10","4","3","-","-","-","-","-","-"
"2203909038","Irapuã II - Floriano (PI)","Total","Total","955","73","170","222","253","131","63","21","13","4","2","1","-","-","2"
"2204659001","Centro - Ilha Grande (PI)","Total","Total","762","75","134","147","182","106","56","27","20","2","4","1","4","2","2"
"2204659002","São Vicente de Paula - Ilha Grande (PI)","Total","Total","231","15","30","41","53","45","19","13","4","5","2","3","-","-","1"
"2204659003","Baixão - Ilha Grande (PI)","Total","Total","302","25","59","56","94","37","10","6","5","3","3","2","-","-","2"
"2204659004","Cal - Ilha Grande (PI)","Total","Total","307","22","45","53","74","42","30","20","7","8","4","1","1","-","-"
"2204659005","Tatus - Ilha Grande (PI)","Total","Total","257","15","34","42","61","40","28","17","7","4","2","4","3","-","-"
"2205706001","Centro - Luís Correia (PI)","Total","Total","586","35","92","135","134","88","37","27","14","12","6","1","3","2","-"
"2205706002","Triângulo - Luís Correia (PI)","Total","Total","123","9","14","21","34","19","11","7","3","1","1","1","-","-","2"
"2205706003","Beira Mar - Luís Correia (PI)","Total","Total","37","2","2","4","10","5","3","7","-","2","1","-","-","1","-"
"2205706004","Cemitério - Luís Correia (PI)","Total","Total","235","10","25","48","64","30","33","8","4","5","4","2","-","-","2"
"2205706005","Santa Luzia - Luís Correia (PI)","Total","Total","303","19","38","60","82","48","29","10","11","3","2","-","-","-","1"
"2205706006","Alto Bonito - Luís Correia (PI)","Total","Total","234","13","29","46","64","39","22","12","3","3","-","2","-","-","1"
"2205706007","Cearazinho - Luís Correia (PI)","Total","Total","226","7","24","43","79","33","22","9","3","2","-","2","1","-","1"
"2205706008","Atalaia - Luís Correia (PI)","Total","Total","188","15","23","39","44","33","19","7","5","1","1","-","-","-","1"
"2205706009","Dunas - Luís Correia (PI)","Total","Total","80","5","9","19","32","10","2","2","1","-","-","-","-","-","-"
"2205706010","Alto do Murici - Luís Correia (PI)","Total","Total","78","5","13","14","19","12","3","4","1","4","3","-","-","-","-"
"2205706011","Coqueiro - Luís Correia (PI)","Total","Total","201","12","31","48","33","33","19","12","6","5","2","-","-","-","-"
"2205706012","Vista do Atlântico - Luís Correia (PI)","Total","Total","53","8","11","13","11","3","4","1","1","-","-","-","1","-","-"
"2207702001","Centro - Parnaíba (PI)","Total","Total","325","43","85","71","65","36","15","4","3","3","-","-","-","-","-"
"2207702002","Nova Parnaíba - Parnaíba (PI)","Total","Total","1658","163","314","384","340","211","117","65","27","18","6","3","7","2","1"
"2207702003","São José - Parnaíba (PI)","Total","Total","1517","134","292","347","359","193","95","48","25","17","3","1","2","-","1"
"2207702004","Mendonça Clark - Parnaíba (PI)","Total","Total","677","72","101","120","166","113","57","22","15","7","1","1","1","-","1"
"2207702005","Santa Isabel - Parnaíba (PI)","Total","Total","1234","130","168","238","289","160","97","70","23","30","10","8","3","2","6"
