"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"1100338006","Cidade Nova - Nova Mamoré (RO)","Total","Total","284","269","1","13","1","-"
"1100338007","João Clímaco - Nova Mamoré (RO)","Total","Total","488","474","1","13","-","-"
"1101500001","Centro - Seringueiras (RO)","Total","Total","288","275","-","8","5","-"
"1101500002","Cristo Rei - Seringueiras (RO)","Total","Total","368","368","-","-","-","-"
"1101500003","São José - Seringueiras (RO)","Total","Total","233","233","-","-","-","-"
"1101500004","Jardim das Américas - Seringueiras (RO)","Total","Total","183","183","-","-","-","-"
"1101500005","Bela Vista - Seringueiras (RO)","Total","Total","240","240","-","-","-","-"
"1101708001","Novo Horizonte - Urupá (RO)","Total","Total","482","476","-","5","1","-"
"1101708002","Santíssima Trindade - Urupá (RO)","Total","Total","283","283","-","-","-","-"
"1101708003","Alto Alegre - Urupá (RO)","Total","Total","429","428","-","1","-","-"
"1101708004","Centro - Urupá (RO)","Total","Total","187","187","-","-","-","-"
"1101708005","Sumaúma - Urupá (RO)","Total","Total","232","200","32","-","-","-"
"1300060001","Centro - Amaturá (AM)","Total","Total","150","150","-","-","-","-"
