"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"4207007003","Cristo Rei - Içara (SC)","Total","Total","751","733","5","11","2","-"
"4207007004","Raichaski - Içara (SC)","Total","Total","678","670","-","8","-","-"
"4207007005","Liri - Içara (SC)","Total","Total","993","993","-","-","-","-"
"4207007006","Presidente Vargas - Içara (SC)","Total","Total","1362","1359","-","3","-","-"
"4207007007","Demboski - Içara (SC)","Total","Total","291","291","-","-","-","-"
"4207007008","Nossa Senhora de Fátima - Içara (SC)","Total","Total","835","827","1","2","5","-"
"4207007009","Jardim Silvana - Içara (SC)","Total","Total","472","468","-","4","-","-"
"4207007010","Tereza Cristina - Içara (SC)","Total","Total","450","450","-","-","-","-"
"4207007011","Jaqueline - Içara (SC)","Total","Total","864","858","-","3","3","-"
"4207007012","Jardim Elizabete - Içara (SC)","Total","Total","778","744","2","29","3","-"
"4207007013","Vila São José - Içara (SC)","Total","Total","295","295","-","-","-","-"
"4207007014","Vila Nova - Içara (SC)","Total","Total","828","810","-","18","-","-"
"4207007015","Barracão - Içara (SC)","Total","Total","300","297","-","3","-","-"
"4207007016","Aurora - Içara (SC)","Total","Total","765","762","1","2","-","-"
"4207304001","Centro - Imbituba (SC)","Total","Total","1167","882","-","285","-","-"
"4207304002","Paes Leme - Imbituba (SC)","Total","Total","845","776","-","67","2","-"
"4207304003","Village - Imbituba (SC)","Total","Total","184","176","2","6","-","-"
"4207304004","Vila Alvorada - Imbituba (SC)","Total","Total","622","617","-","5","-","-"
"4207304005","Vila Nova Alvorada - Imbituba (SC)","Total","Total","1070","1055","-","15","-","-"
"4207304006","Vila Esperança - Imbituba (SC)","Total","Total","250","250","-","-","-","-"
"4207304007","Ribanceira - Imbituba (SC)","Total","Total","100","100","-","-","-","-"
"4207304008","Barra de Ibiraquera - Imbituba (SC)","Total","Total","106","105","-","1","-","-"
"4207304009","Vila Nova - Imbituba (SC)","Total","Total","1181","1117","4","57","3","-"
"4207304010","Vila Santo Antônio - Imbituba (SC)","Total","Total","435","422","1","12","-","-"
"4207304011","Campo D'Aviação - Imbituba (SC)","Total","Total","341","336","-","5","-","-"
"4207304012","Porto da Vila - Imbituba (SC)","Total","Total","154","154","-","-","-","-"
"4207304013","Sagrada Família - Imbituba (SC)","Total","Total","354","352","2","-","-","-"
"4207304014","São Tomaz - Imbituba (SC)","Total","Total","191","191","-","-","-","-"
"4207304015","Guaiuba - Imbituba (SC)","Total","Total","468","468","-","-","-","-"
"4207304016","Roça Grande - Imbituba (SC)","Total","Total","436","436","-","-","-","-"
"4207304017","Boa Vista - Imbituba (SC)","Total","Total","133","132","1","-","-","-"
"4207304018","Itapiruba - Imbituba (SC)","Total","Total","140","129","2","8","1","-"
"4207304019","Mirim - Imbituba (SC)","Total","Total","289","288","-","1","-","-"
"4207304020","Nova Brasília - Imbituba (SC)","Total","Total","1476","1414","1","61","-","-"
"4207304021","Morro do Mirim - Imbituba (SC)","Total","Total","144","143","1","-","-","-"
"4207304022","Campestre - Imbituba (SC)","Total","Total","597","591","5","1","-","-"
"4207304023","Sambaqui - Imbituba (SC)","Total","Total","185","185","-","-","-","-"
"4207304024","Arroio - Imbituba (SC)","Total","Total","213","212","1","-","-","-"
"4207304025","Arroio do Rosa - Imbituba (SC)","Total","Total","85","85","-","-","-","-"
"4207304026","Alto Arroio - Imbituba (SC)","Total","Total","492","491","-","1","-","-"
"4207304027","Ibiraquera - Imbituba (SC)","Total","Total","920","913","1","6","-","-"
"4207304028","Araçatuba - Imbituba (SC)","Total","Total","279","279","-","-","-","-"
"4207304029","Campo Duna - Imbituba (SC)","Total","Total","180","180","-","-","-","-"
"4207304030","Penha - Imbituba (SC)","Total","Total","123","123","-","-","-","-"
"4207502001","Centro - Indaial (SC)","Total","Total","275","162","-","112","1","-"
"4207502002","Tapajós - Indaial (SC)","Total","Total","2128","1863","26","222","17","-"
"4207502003","Das Nações - Indaial (SC)","Total","Total","1237","676","4","544","13","-"
"4207502004","Carijós - Indaial (SC)","Total","Total","1874","1642","10","199","23","-"
"4207502005","Do Sol - Indaial (SC)","Total","Total","570","541","-","29","-","-"
"4207502006","dos Estados - Indaial (SC)","Total","Total","1228","1059","3","166","-","-"
"4207502007","Estrada das Areias - Indaial (SC)","Total","Total","1552","1506","1","43","2","-"
"4207502008","Warnow - Indaial (SC)","Total","Total","747","744","2","1","-","-"
"4207502009","Ribeirão das Pedras - Indaial (SC)","Total","Total","581","573","1","7","-","-"
"4207502010","Rio Morto - Indaial (SC)","Total","Total","1928","1757","11","157","3","-"
"4207502011","João Paulo II - Indaial (SC)","Total","Total","677","637","14","26","-","-"
"4207502012","Arapongas - Indaial (SC)","Total","Total","151","151","-","-","-","-"
"4207502013","Benedito - Indaial (SC)","Total","Total","293","267","1","25","-","-"
"4207502014","Mulde - Indaial (SC)","Total","Total","1010","929","-","49","32","-"
"4207502015","Encano do Norte - Indaial (SC)","Total","Total","1226","1193","-","26","7","-"
"4207502016","Encano Baixo - Indaial (SC)","Total","Total","1107","1073","1","22","11","-"
"4207502017","Estradinha - Indaial (SC)","Total","Total","163","163","-","-","-","-"
"4207650001","Vila Nova - Iporã do Oeste (SC)","Total","Total","89","89","-","-","-","-"
"4207650002","Ruschel - Iporã do Oeste (SC)","Total","Total","75","75","-","-","-","-"
"4208104001","Centro - Itaiópolis (SC)","Total","Total","1126","1017","-","107","2","-"
"4208104002","Vila Nova - Itaiópolis (SC)","Total","Total","399","399","-","-","-","-"
"4208104003","Lucena - Itaiópolis (SC)","Total","Total","501","499","-","2","-","-"
"4208104004","Nova Brasília - Itaiópolis (SC)","Total","Total","84","83","-","1","-","-"
"4208104005","Alto Paraguaçu - Itaiópolis (SC)","Total","Total","169","169","-","-","-","-"
"4208104006","Vila Gaúcha - Itaiópolis (SC)","Total","Total","56","56","-","-","-","-"
"4208104007","Bom Jesus - Itaiópolis (SC)","Total","Total","670","660","-","10","-","-"
"4208203001","Centro - Itajaí (SC)","Total","Total","4018","1648","12","2357","1","-"
"4208203002","Fazenda - Itajaí (SC)","Total","Total","5320","3731","8","1573","8","-"
"4208203003","Cabeçudas - Itajaí (SC)","Total","Total","391","326","-","65","-","-"
"4208203004","Praia Brava - Itajaí (SC)","Total","Total","1424","1087","1","336","-","-"
"4208203005","Ressacada - Itajaí (SC)","Total","Total","1441","1273","1","165","2","-"
"4208203006","Cidade Nova - Itajaí (SC)","Total","Total","5756","5487","67","192","10","-"
"4208203007","São Vicente - Itajaí (SC)","Total","Total","9669","8787","34","747","101","-"
"4208203008","Dom Bosco - Itajaí (SC)","Total","Total","2262","1770","114","378","-","-"
"4208203009","Vila Operária - Itajaí (SC)","Total","Total","1048","676","7","365","-","-"
"4208203010","São João - Itajaí (SC)","Total","Total","4121","3360","19","728","14","-"
"4208203011","Barra do Rio - Itajaí (SC)","Total","Total","1801","1636","4","155","6","-"
"4208203012","Cordeiros - Itajaí (SC)","Total","Total","11408","10512","10","816","70","-"
"4208203013","Salseiros - Itajaí (SC)","Total","Total","951","925","1","24","1","-"
"4208203014","Espinheiros - Itajaí (SC)","Total","Total","1646","1627","1","14","4","-"
"4208203015","Itaipava - Itajaí (SC)","Total","Total","1473","1450","-","23","-","-"
"4208203016","Canhanduba - Itajaí (SC)","Total","Total","199","199","-","-","-","-"
"4208203017","São Judas - Itajaí (SC)","Total","Total","1797","1484","2","311","-","-"
"4208302001","Centro - Itapema (SC)","Total","Total","1229","483","-","746","-","-"
"4208302002","Canto da Praia - Itapema (SC)","Total","Total","374","300","-","74","-","-"
"4208302003","Ilhota - Itapema (SC)","Total","Total","671","617","-","54","-","-"
"4208302004","Sertãozinho - Itapema (SC)","Total","Total","392","382","-","10","-","-"
"4208302005","Alto do São Bento - Itapema (SC)","Total","Total","1066","1045","-","20","1","-"
"4208302006","Casa Branca - Itapema (SC)","Total","Total","509","495","-","14","-","-"
"4208302007","Várzea - Itapema (SC)","Total","Total","733","697","-","24","12","-"
"4208302008","Taboleiro dos Oliveiras - Itapema (SC)","Total","Total","585","399","138","47","1","-"
"4208302009","Morretes - Itapema (SC)","Total","Total","3622","3193","6","407","16","-"
"4208302010","Meia Praia - Itapema (SC)","Total","Total","1047","152","7","888","-","-"
"4208302011","Andorinha - Itapema (SC)","Total","Total","2647","954","3","1689","1","-"
"4208302012","Castelo Branco - Itapema (SC)","Total","Total","1792","833","9","949","1","-"
"4208500001","Centro - Ituporanga (SC)","Total","Total","1116","777","3","336","-","-"
"4208500002","da Gruta - Ituporanga (SC)","Total","Total","229","223","-","6","-","-"
"4208500003","Salto Grande - Ituporanga (SC)","Total","Total","71","71","-","-","-","-"
"4208500004","Santo Antônio - Ituporanga (SC)","Total","Total","386","374","-","12","-","-"
"4208500005","Jardim América - Ituporanga (SC)","Total","Total","433","416","-","16","1","-"
"4208500007","Gabiroba - Ituporanga (SC)","Total","Total","723","698","3","20","2","-"
"4208500008","Bela Vista - Ituporanga (SC)","Total","Total","62","57","-","5","-","-"
"4208500009","Vila Nova - Ituporanga (SC)","Total","Total","485","483","-","2","-","-"
"4208500010","Cerro Negro - Ituporanga (SC)","Total","Total","218","218","-","-","-","-"
"4208500011","Fachinal Vila Nova - Ituporanga (SC)","Total","Total","39","39","-","-","-","-"
"4208500012","Seminário - Ituporanga (SC)","Total","Total","100","96","-","4","-","-"
"4208500013","Nossa Senhora de Fátima - Ituporanga (SC)","Total","Total","342","335","1","6","-","-"
"4208500014","Boa Vista - Ituporanga (SC)","Total","Total","414","414","-","-","-","-"
"4208708001","Jardim Arizona - Jacinto Machado (SC)","Total","Total","232","232","-","-","-","-"
"4208708002","Paraguai - Jacinto Machado (SC)","Total","Total","219","215","-","4","-","-"
"4208708003","Figueira - Jacinto Machado (SC)","Total","Total","287","284","-","3","-","-"
"4208708004","Centro - Jacinto Machado (SC)","Total","Total","492","389","-","103","-","-"
"4208708005","Gávea - Jacinto Machado (SC)","Total","Total","339","337","-","2","-","-"
"4208708006","Bela Vista - Jacinto Machado (SC)","Total","Total","170","168","-","2","-","-"
"4208906001","Centro - Jaraguá do Sul (SC)","Total","Total","3491","1198","14","2269","10","-"
"4208906002","Ilha da Figueira - Jaraguá do Sul (SC)","Total","Total","3151","2597","2","536","16","-"
"4208906003","Vila Nova - Jaraguá do Sul (SC)","Total","Total","1463","871","10","581","1","-"
"4208906004","Barra do Rio Molha - Jaraguá do Sul (SC)","Total","Total","722","606","1","115","-","-"
"4208906005","Barra do Rio Cerro - Jaraguá do Sul (SC)","Total","Total","2602","2398","-","204","-","-"
"4208906006","Jaraguá 99 - Jaraguá do Sul (SC)","Total","Total","1285","1242","-","39","4","-"
"4208906007","João Pessoa - Jaraguá do Sul (SC)","Total","Total","1386","1351","-","35","-","-"
"4208906008","Vieira - Jaraguá do Sul (SC)","Total","Total","817","644","-","173","-","-"
"4208906009","Centenário - Jaraguá do Sul (SC)","Total","Total","495","323","2","152","18","-"
"4208906010","Vila Lalau - Jaraguá do Sul (SC)","Total","Total","1522","952","2","546","22","-"
"4208906011","Vila Baependi - Jaraguá do Sul (SC)","Total","Total","975","499","2","468","6","-"
"4208906012","Czerniewicz - Jaraguá do Sul (SC)","Total","Total","1399","1106","-","293","-","-"
"4208906013","Amizade - Jaraguá do Sul (SC)","Total","Total","1607","1278","-","328","1","-"
"4208906014","Três Rios do Sul - Jaraguá do Sul (SC)","Total","Total","684","656","-","28","-","-"
"4208906015","Estrada Nova - Jaraguá do Sul (SC)","Total","Total","1707","1455","94","158","-","-"
"4208906016","Rau - Jaraguá do Sul (SC)","Total","Total","1708","1327","-","371","10","-"
"4208906017","Água Verde - Jaraguá do Sul (SC)","Total","Total","823","707","-","116","-","-"
"4208906018","Chico de Paulo - Jaraguá do Sul (SC)","Total","Total","1167","1090","1","74","2","-"
"4208906019","Vila Lenzi - Jaraguá do Sul (SC)","Total","Total","1938","1676","2","256","4","-"
"4208906020","Nova Brasília - Jaraguá do Sul (SC)","Total","Total","1114","732","4","361","17","-"
"4208906021","Jaraguá Esquerdo - Jaraguá do Sul (SC)","Total","Total","1713","1319","16","378","-","-"
"4208906022","São Luís - Jaraguá do Sul (SC)","Total","Total","1270","1142","1","117","10","-"
"4208906023","Tifa Martins - Jaraguá do Sul (SC)","Total","Total","2351","2142","5","194","10","-"
"4208906024","Parque Malwee - Jaraguá do Sul (SC)","Total","Total","112","112","-","-","-","-"
"4208906025","Tifa Monos - Jaraguá do Sul (SC)","Total","Total","154","154","-","-","-","-"
"4208906026","Nereu Ramos - Jaraguá do Sul (SC)","Total","Total","834","802","-","32","-","-"
"4208906027","Rio Cerro I - Jaraguá do Sul (SC)","Total","Total","401","399","-","2","-","-"
"4208906028","Rio Cerro II - Jaraguá do Sul (SC)","Total","Total","78","76","-","2","-","-"
"4208906029","Rio da Luz - Jaraguá do Sul (SC)","Total","Total","787","772","1","14","-","-"
"4208906030","Ribeirão do Cavalo - Jaraguá do Sul (SC)","Total","Total","270","263","-","7","-","-"
"4208906031","Braço do Ribeirão Cavalo - Jaraguá do Sul (SC)","Total","Total","380","373","-","5","2","-"
"4208906032","Santo Antônio - Jaraguá do Sul (SC)","Total","Total","868","801","4","63","-","-"
"4208906033","Três Rios do Norte - Jaraguá do Sul (SC)","Total","Total","1089","1080","-","9","-","-"
"4208906034","Do Molha - Jaraguá do Sul (SC)","Total","Total","277","277","-","-","-","-"
"4208906035","Jaraguá 84 - Jaraguá do Sul (SC)","Total","Total","471","461","-","10","-","-"
"4208906036","Águas Claras - Jaraguá do Sul (SC)","Total","Total","233","225","-","8","-","-"
"4208906037","Boa Vista - Jaraguá do Sul (SC)","Total","Total","148","148","-","-","-","-"
"4209102001","Nova Brasília - Joinville (SC)","Total","Total","3862","3652","-","203","7","-"
"4209102002","São Marcos - Joinville (SC)","Total","Total","842","803","1","35","3","-"
"4209102003","Vila Nova - Joinville (SC)","Total","Total","6753","6171","47","528","7","-"
"4209102004","Glória - Joinville (SC)","Total","Total","3579","2546","46","987","-","-"
"4209102005","Costa e Silva - Joinville (SC)","Total","Total","9160","6543","127","2439","51","-"
"4209102006","Santo Antônio - Joinville (SC)","Total","Total","2457","1242","32","1181","2","-"
"4209102007","América - Joinville (SC)","Total","Total","4248","1861","67","2315","5","-"
"4209102008","Centro - Joinville (SC)","Total","Total","2108","160","2","1940","6","-"
"4209102009","Atiradores - Joinville (SC)","Total","Total","1825","599","14","1212","-","-"
"4209102010","Anita Garibaldi - Joinville (SC)","Total","Total","2925","1664","11","1249","1","-"
"4209102011","Floresta - Joinville (SC)","Total","Total","5915","4676","64","1162","13","-"
"4209102012","Santa Catarina - Joinville (SC)","Total","Total","2817","2585","-","211","21","-"
"4209102013","Itinga - Joinville (SC)","Total","Total","1881","1820","3","45","13","-"
"4209102014","Itaum - Joinville (SC)","Total","Total","4559","3992","5","555","7","-"
"4209102015","Jarivatuba - Joinville (SC)","Total","Total","3712","3425","7","280","-","-"
"4209102016","Fátima - Joinville (SC)","Total","Total","4243","3873","3","342","25","-"
"4209102017","Guanabara - Joinville (SC)","Total","Total","3636","2947","26","660","3","-"
"4209102018","Bucarein - Joinville (SC)","Total","Total","1983","892","9","1080","2","-"
"4209102019","Boa Vista - Joinville (SC)","Total","Total","5376","4549","13","751","63","-"
"4209102020","Saguaçu - Joinville (SC)","Total","Total","4615","2800","68","1746","1","-"
"4209102021","Iririu - Joinville (SC)","Total","Total","7178","5703","7","1433","35","-"
"4209102022","Bom Retiro - Joinville (SC)","Total","Total","4060","2807","30","1174","49","-"
"4209102023","Aventureiro - Joinville (SC)","Total","Total","10585","9723","13","848","1","-"
"4209102024","Jardim Sofia - Joinville (SC)","Total","Total","1293","1195","-","87","11","-"
"4209102025","Morro do Meio - Joinville (SC)","Total","Total","2418","2387","1","23","7","-"
"4209102026","Zona Industrial 1 - Joinville (SC)","Total","Total","927","817","-","110","-","-"
"4209102027","Pirabeiraba - Joinville (SC)","Total","Total","1272","1161","11","100","-","-"
"4209102029","Rio Bonito - Joinville (SC)","Total","Total","1751","1729","3","16","3","-"
"4209102030","Jardim-Iririú - Joinville (SC)","Total","Total","6706","6060","4","630","12","-"
"4209102031","Comasa - Joinville (SC)","Total","Total","5869","5333","3","515","18","-"
"4209102032","Adhemar Garcia - Joinville (SC)","Total","Total","2743","2651","1","89","2","-"
"4209102033","Paranaguá-Mirim - Joinville (SC)","Total","Total","7797","7527","1","256","13","-"
"4209102034","João Costa - Joinville (SC)","Total","Total","3769","3536","1","221","11","-"
"4209102035","Boehmerwaldt - Joinville (SC)","Total","Total","4846","4565","27","220","34","-"
"4209102036","Petrópolis - Joinville (SC)","Total","Total","3982","3743","13","219","7","-"
"4209102037","Espinheiros - Joinville (SC)","Total","Total","2821","2653","2","164","2","-"
"4209102038","Jardim Paraíso - Joinville (SC)","Total","Total","4736","4687","2","36","11","-"
"4209102039","Vila Cubatão - Joinville (SC)","Total","Total","263","261","-","1","1","-"
"4209102040","Zona Industrial 2 - Joinville (SC)","Total","Total","14","14","-","-","-","-"
"4209102044","Parque Guaraní - Joinville (SC)","Total","Total","2689","2638","-","51","-","-"
"4209102045","Ulysses Guimarães - Joinville (SC)","Total","Total","2589","2543","6","34","6","-"
"4209102046","Dona Francisca - Joinville (SC)","Total","Total","172","157","1","14","-","-"
"4209102047","Profipo - Joinville (SC)","Total","Total","312","310","-","2","-","-"
"4209300001","Centro - Lages (SC)","Total","Total","4976","1722","24","3222","8","-"
"4209300002","Da Brusque - Lages (SC)","Total","Total","700","592","-","108","-","-"
"4209300003","Santa Rita - Lages (SC)","Total","Total","696","650","-","46","-","-"
"4209300004","Do Triângulo - Lages (SC)","Total","Total","360","337","-","23","-","-"
"4209300005","Copacabana - Lages (SC)","Total","Total","1577","1467","5","99","6","-"
"4209300006","Ipiranga - Lages (SC)","Total","Total","317","316","1","-","-","-"
"4209300007","Beatriz - Lages (SC)","Total","Total","174","158","1","15","-","-"
"4209300008","São Pedro - Lages (SC)","Total","Total","315","315","-","-","-","-"
"4209300009","Morro do Posto - Lages (SC)","Total","Total","459","446","-","12","1","-"
"4209300010","Vila Comboni - Lages (SC)","Total","Total","159","159","-","-","-","-"
"4209300011","Guadalupe - Lages (SC)","Total","Total","557","477","-","80","-","-"
"4209300012","Frei Rogério - Lages (SC)","Total","Total","467","452","-","15","-","-"
"4209300013","Sagrado Coração de Jesus - Lages (SC)","Total","Total","1209","1096","2","111","-","-"
"4209300014","Coral - Lages (SC)","Total","Total","1848","1109","6","733","-","-"
"4209300015","Caravágio - Lages (SC)","Total","Total","777","733","-","43","1","-"
"4209300016","São Cristóvão - Lages (SC)","Total","Total","1493","1178","2","313","-","-"
"4209300017","Universitário - Lages (SC)","Total","Total","1367","1209","1","157","-","-"
"4209300018","Vila Nova - Lages (SC)","Total","Total","1167","1025","-","142","-","-"
"4209300019","Santa Helena - Lages (SC)","Total","Total","2751","2724","3","24","-","-"
"4209300020","Petrópolis - Lages (SC)","Total","Total","1500","1470","-","30","-","-"
"4209300021","São Francisco - Lages (SC)","Total","Total","333","328","-","4","1","-"
"4209300022","São Paulo - Lages (SC)","Total","Total","186","186","-","-","-","-"
"4209300023","Passo Fundo - Lages (SC)","Total","Total","322","322","-","-","-","-"
"4209300024","Vila Maria - Lages (SC)","Total","Total","409","407","-","2","-","-"
"4209300025","Maria Luiza - Lages (SC)","Total","Total","425","411","1","13","-","-"
"4209300026","Conta Dinheiro - Lages (SC)","Total","Total","1379","1225","48","106","-","-"
"4209300027","Gethal - Lages (SC)","Total","Total","576","559","-","17","-","-"
"4209300028","Dom Daniel - Lages (SC)","Total","Total","229","229","-","-","-","-"
"4209300029","Santa Maria - Lages (SC)","Total","Total","688","616","-","72","-","-"
"4209300030","Ponte Grande - Lages (SC)","Total","Total","509","497","-","12","-","-"
"4209300031","Ferrovia - Lages (SC)","Total","Total","276","275","1","-","-","-"
"4209300032","Popular - Lages (SC)","Total","Total","822","736","-","86","-","-"
"4209300033","Da Várzea - Lages (SC)","Total","Total","1717","1707","1","9","-","-"
"4209300034","Habitação - Lages (SC)","Total","Total","1008","1002","-","6","-","-"
"4209300035","Caça e Tiro - Lages (SC)","Total","Total","63","63","-","-","-","-"
"4209300036","Bom Jesus - Lages (SC)","Total","Total","436","432","1","3","-","-"
"4209300037","Morro Grande - Lages (SC)","Total","Total","183","183","-","-","-","-"
"4209300038","Centenário - Lages (SC)","Total","Total","758","753","-","5","-","-"
"4209300039","Santo Antônio - Lages (SC)","Total","Total","547","534","1","12","-","-"
"4209300040","São Luiz - Lages (SC)","Total","Total","473","471","-","2","-","-"
"4209300041","Araucária - Lages (SC)","Total","Total","850","847","-","3","-","-"
"4209300042","Santa Catarina - Lages (SC)","Total","Total","1262","1257","1","3","1","-"
"4209300043","Santa Clara - Lages (SC)","Total","Total","330","328","-","1","1","-"
"4209300044","Área Industrial - Lages (SC)","Total","Total","86","83","-","3","-","-"
"4209300045","Promorar - Lages (SC)","Total","Total","923","921","2","-","-","-"
"4209300046","Bela Vista - Lages (SC)","Total","Total","225","222","-","2","1","-"
"4209300047","Santa Cândida - Lages (SC)","Total","Total","229","228","-","1","-","-"
"4209300048","Boqueirão - Lages (SC)","Total","Total","164","163","-","-","1","-"
"4209300049","Jardim das Camélias - Lages (SC)","Total","Total","72","72","-","-","-","-"
"4209300050","Restinga Sêca - Lages (SC)","Total","Total","167","165","-","2","-","-"
"4209300051","Jardim Celina - Lages (SC)","Total","Total","162","161","-","1","-","-"
"4209300052","Pisani - Lages (SC)","Total","Total","64","64","-","-","-","-"
"4209300053","Do Tributo - Lages (SC)","Total","Total","579","578","-","-","1","-"
"4209300054","Guarujá - Lages (SC)","Total","Total","2725","2706","-","16","3","-"
"4209300055","São Sebastião - Lages (SC)","Total","Total","362","360","-","2","-","-"
"4209300056","Da Bates - Lages (SC)","Total","Total","229","228","-","1","-","-"
"4209300057","Vila Mariza - Lages (SC)","Total","Total","453","452","-","1","-","-"
"4209300058","Jardim Panorâmico - Lages (SC)","Total","Total","363","362","-","1","-","-"
"4209300059","Da Chapada - Lages (SC)","Total","Total","130","129","1","-","-","-"
"4209300060","Da Penha - Lages (SC)","Total","Total","1439","1429","-","10","-","-"
"4209300061","São Miguel - Lages (SC)","Total","Total","1069","1057","-","12","-","-"
"4209300062","Cruz de Malta - Lages (SC)","Total","Total","212","210","-","2","-","-"
"4209300063","Cidade Alta - Lages (SC)","Total","Total","59","56","-","3","-","-"
"4209300064","Caroba - Lages (SC)","Total","Total","717","713","1","3","-","-"
"4209300065","Santa Mônica - Lages (SC)","Total","Total","906","904","1","1","-","-"
"4209300066","Vista Alegre - Lages (SC)","Total","Total","46","46","-","-","-","-"
"4209300067","Nossa Senhora Aparecida - Lages (SC)","Total","Total","13","13","-","-","-","-"
"4209300068","Cdl - Lages (SC)","Total","Total","15","15","-","-","-","-"
"4209300069","Pinheiro Seco - Lages (SC)","Total","Total","14","14","-","-","-","-"
"4209409001","Centro - Laguna (SC)","Total","Total","530","451","-","79","-","-"
"4209409002","Navegantes - Laguna (SC)","Total","Total","754","701","5","48","-","-"
"4209409003","Mar Grosso - Laguna (SC)","Total","Total","1196","499","2","694","1","-"
"4209409004","Magalhães - Laguna (SC)","Total","Total","1083","987","5","86","5","-"
"4209409005","Vila Vitória - Laguna (SC)","Total","Total","798","796","-","2","-","-"
"4209409006","Vila Ponta das Pedras - Laguna (SC)","Total","Total","255","235","10","8","2","-"
"4209409007","Campo de Fora - Laguna (SC)","Total","Total","396","395","1","-","-","-"
"4209409008","Progresso - Laguna (SC)","Total","Total","1342","1318","2","22","-","-"
"4209409009","Esperança - Laguna (SC)","Total","Total","709","650","1","58","-","-"
"4209409010","Balneário Laguna Internacional - Laguna (SC)","Total","Total","42","32","3","7","-","-"
"4209409011","Portinho - Laguna (SC)","Total","Total","1418","1387","5","26","-","-"
"4209409012","Barbacena - Laguna (SC)","Total","Total","324","323","1","-","-","-"
"4209409013","Mato Alto - Laguna (SC)","Total","Total","62","62","-","-","-","-"
"4209409014","Vila Francisco de Assis Soares - Laguna (SC)","Total","Total","139","134","5","-","-","-"
"4209409015","Cabeçudas - Laguna (SC)","Total","Total","1227","1223","-","4","-","-"
"4209409016","Barranceira - Laguna (SC)","Total","Total","334","334","-","-","-","-"
"4209409017","Bentos - Laguna (SC)","Total","Total","149","148","-","1","-","-"
"4209409018","Industrial - Laguna (SC)","Total","Total","5","4","-","1","-","-"
"4209409019","Jardim Juliana - Laguna (SC)","Total","Total","158","158","-","-","-","-"
"4209409020","Praia do Gi - Laguna (SC)","Total","Total","..","..","..","..","..",".."
"4209508001","Baixo Amuado - Laurentino (SC)","Total","Total","58","58","-","-","-","-"
"4209508002","Barra Seca - Laurentino (SC)","Total","Total","41","41","-","-","-","-"
"4209508003","Braço Laurentino - Laurentino (SC)","Total","Total","20","20","-","-","-","-"
"4209508004","Caçador - Laurentino (SC)","Total","Total","113","113","-","-","-","-"
"4209508005","Centro - Laurentino (SC)","Total","Total","577","543","2","29","3","-"
"4209508006","Fruteira - Laurentino (SC)","Total","Total","141","141","-","-","-","-"
"4209508007","Rodovia das Primaveras - Laurentino (SC)","Total","Total","157","157","-","-","-","-"
"4209508008","Ribeirão Basílio - Laurentino (SC)","Total","Total","32","32","-","-","-","-"
"4209508009","Ribeirão Laurentino - Laurentino (SC)","Total","Total","46","46","-","-","-","-"
"4209508010","Vila Nova - Laurentino (SC)","Total","Total","222","222","-","-","-","-"
"4209607001","Arizona - Lauro Müller (SC)","Total","Total","353","350","-","3","-","-"
"4209607002","Bela Vista - Lauro Müller (SC)","Total","Total","103","100","-","3","-","-"
"4209607003","Cairú - Lauro Müller (SC)","Total","Total","287","245","-","42","-","-"
"4209607004","Castelo - Lauro Müller (SC)","Total","Total","..","..","..","..","..",".."
"4209607005","Centro - Lauro Müller (SC)","Total","Total","355","294","1","60","-","-"
"4209607006","Içarense - Lauro Müller (SC)","Total","Total","223","219","4","-","-","-"
"4209607007","Km 1 - Lauro Müller (SC)","Total","Total","259","259","-","-","-","-"
"4209607008","Santa Bárbara - Lauro Müller (SC)","Total","Total","88","87","-","1","-","-"
"4209607009","Sumaré - Lauro Müller (SC)","Total","Total","408","407","-","1","-","-"
"4209607010","Centro - Lauro Müller (SC)","Total","Total","202","202","-","-","-","-"
"4209607011","Rio Bonito - Lauro Müller (SC)","Total","Total","177","177","-","-","-","-"
"4209607012","Centro - Lauro Müller (SC)","Total","Total","500","498","1","1","-","-"
"4209607013","Barreiros - Lauro Müller (SC)","Total","Total","309","309","-","-","-","-"
"4209607014","Coletora - Lauro Müller (SC)","Total","Total","96","96","-","-","-","-"
"4209904001","Dos Pioneiros - Lontras (SC)","Total","Total","67","67","-","-","-","-"
"4210100001","Centro I-Baixada - Mafra (SC)","Total","Total","1274","1124","1","149","-","-"
"4210100002","Centro II-Alto de Mafra - Mafra (SC)","Total","Total","859","668","2","189","-","-"
