"Tabela 1394 - Domicílios particulares permanentes, por situação do domicílio e existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio, segundo o tipo do domicílio, a condição de ocupação e o tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Ano x Situação do domicílio x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Tinham banheiro de uso exclusivo do domicílio - 1 banheiro","Tinham banheiro de uso exclusivo do domicílio - 2 banheiros","Tinham banheiro de uso exclusivo do domicílio - 3 banheiros","Tinham banheiro de uso exclusivo do domicílio - 4 banheiros ou mais","Tinham sanitário","Não tinham banheiro nem sanitário"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total","Total","Total","Total","Total","Total"
"4314902037","Belém Velho - Porto Alegre (RS)","Total","Total","2130","512","123","47","19","24"
"4314902038","Bonfim - Porto Alegre (RS)","Total","Total","3062","1996","671","78","1","-"
"4314902039","Independência - Porto Alegre (RS)","Total","Total","1173","860","744","181","2","-"
"4314902040","Floresta - Porto Alegre (RS)","Total","Total","4161","1847","464","77","41","1"
"4314902041","Moinhos de Vento - Porto Alegre (RS)","Total","Total","568","883","1359","458","3","-"
"4314902042","Rio Branco - Porto Alegre (RS)","Total","Total","3428","3220","1823","681","19","20"
"4314902043","Bela Vista - Porto Alegre (RS)","Total","Total","768","1330","1641","755","2","-"
"4314902044","Mont'Serrat - Porto Alegre (RS)","Total","Total","1536","1718","1243","389","3","1"
"4314902045","Auxiliadora - Porto Alegre (RS)","Total","Total","1601","1521","890","218","5","-"
"4314902046","São João - Porto Alegre (RS)","Total","Total","2780","1597","619","158","15","4"
"4314902047","São Geraldo - Porto Alegre (RS)","Total","Total","2319","823","131","32","26","-"
"4314902048","Navegantes - Porto Alegre (RS)","Total","Total","1186","347","41","4","11","-"
"4314902049","Higienópolis - Porto Alegre (RS)","Total","Total","1420","1528","1180","293","2","-"
"4314902050","Passo da Areia - Porto Alegre (RS)","Total","Total","6148","2568","590","184","6","13"
"4314902051","Cristo Redentor - Porto Alegre (RS)","Total","Total","4200","1917","452","109","16","-"
"4314902052","Jardim São Pedro - Porto Alegre (RS)","Total","Total","775","472","157","50","4","-"
"4314902053","Vila Floresta - Porto Alegre (RS)","Total","Total","738","256","85","29","19","1"
"4314902054","Jardim Lindóia - Porto Alegre (RS)","Total","Total","944","795","739","344","1","-"
"4314902055","Anchieta - Porto Alegre (RS)","Total","Total","31","10","3","5","-","-"
"4314902056","Boa Vista - Porto Alegre (RS)","Total","Total","1025","1356","760","427","-","-"
"4314902057","Vila Ipiranga - Porto Alegre (RS)","Total","Total","5584","2058","654","246","4","-"
"4314902058","Três Figueiras - Porto Alegre (RS)","Total","Total","165","312","441","464","13","2"
"4314902059","Chácara das Pedras - Porto Alegre (RS)","Total","Total","711","774","810","466","-","-"
"4314902060","Vila Jardim - Porto Alegre (RS)","Total","Total","3056","655","175","154","18","4"
"4314902061","Sarandi - Porto Alegre (RS)","Total","Total","14710","3949","989","237","112","40"
"4314902062","Santa Maria Goretti - Porto Alegre (RS)","Total","Total","888","328","77","27","5","3"
"4314902063","Rubem Berta - Porto Alegre (RS)","Total","Total","23781","3644","816","214","219","73"
"4314902064","Jardim Itu-Sabará - Porto Alegre (RS)","Total","Total","6044","3238","1341","531","43","4"
"4314902065","São Sebastião - Porto Alegre (RS)","Total","Total","1606","601","218","49","8","-"
"4314902066","Humaitá - Porto Alegre (RS)","Total","Total","3906","173","14","2","35","35"
"4314902067","Farrapos - Porto Alegre (RS)","Total","Total","5266","696","79","17","60","33"
"4314902068","Jardim do Carvalho - Porto Alegre (RS)","Total","Total","6037","1594","268","148","89","25"
"4314902069","Jardim do Salso - Porto Alegre (RS)","Total","Total","1402","467","130","108","6","1"
"4314902070","Restinga - Porto Alegre (RS)","Total","Total","12097","2291","272","49","125","110"
"4314902071","Ponta Grossa - Porto Alegre (RS)","Total","Total","1650","429","58","21","17","7"
"4314902072","Hípica - Porto Alegre (RS)","Total","Total","2199","1114","309","83","29","10"
"4314902073","Belém Novo - Porto Alegre (RS)","Total","Total","2996","878","244","154","67","12"
"4314902074","Lami - Porto Alegre (RS)","Total","Total","1109","295","42","10","8","4"
"4314902075","Serraria - Porto Alegre (RS)","Total","Total","1324","293","58","14","20","22"
"4314902076","Lageado - Porto Alegre (RS)","Total","Total","1945","382","69","21","12","21"
"4314902077","Lomba do Pinheiro - Porto Alegre (RS)","Total","Total","12983","2216","288","56","201","67"
"4314902078","Mário Quintana - Porto Alegre (RS)","Total","Total","6929","974","126","32","109","77"
"4314902079","Jardim Isabel - Porto Alegre (RS)","Total","Total","22","80","203","152","-","-"
"4315354001","Bela Vista - Quinze de Novembro (RS)","Total","Total","87","16","1","1","-","1"
"4315354002","Princesa - Quinze de Novembro (RS)","Total","Total","72","28","3","-","-","-"
"4315354003","Colina - Quinze de Novembro (RS)","Total","Total","53","19","2","-","-","-"
"4315354004","Três Palmeiras - Quinze de Novembro (RS)","Total","Total","47","7","1","-","-","-"
"4315354005","Centro - Quinze de Novembro (RS)","Total","Total","182","87","19","-","-","-"
"4315602001","Industrial Tamandaré - Rio Grande (RS)","Total","Total","1231","110","10","3","37","42"
"4315602002","Imperial Marinheiro Marcílio Dias - Rio Grande (RS)","Total","Total","376","77","12","1","2","1"
"4315602003","Getúlio Vargas - Rio Grande (RS)","Total","Total","2609","463","54","11","45","13"
"4315602004","Santa Tereza - Rio Grande (RS)","Total","Total","590","133","20","1","6","2"
"4315602005","Frederico Ernesto Buchholz - Rio Grande (RS)","Total","Total","1744","370","58","5","17","6"
"4315602006","América - Rio Grande (RS)","Total","Total","565","130","13","1","1","2"
"4315602007","Miguel de Castro Moreira - Rio Grande (RS)","Total","Total","1284","445","44","8","4","10"
"4315602008","Carlos Santos - Rio Grande (RS)","Total","Total","326","25","1","-","28","-"
"4315602009","São José Operário - Rio Grande (RS)","Total","Total","311","119","20","2","-","-"
"4315602010","Santa Rita de Cássia - Rio Grande (RS)","Total","Total","355","29","-","-","18","10"
"4315602011","Agostinho Petrone - Rio Grande (RS)","Total","Total","58","23","1","-","-","-"
"4315701001","Centro - Rio Pardo (RS)","Total","Total","182","105","40","20","-","-"
"4315701002","Auxiliadora - Rio Pardo (RS)","Total","Total","169","106","23","5","-","-"
"4315701003","São João - Rio Pardo (RS)","Total","Total","232","95","30","21","5","-"
"4315701004","Fortaleza - Rio Pardo (RS)","Total","Total","125","76","20","6","1","2"
"4315701005","São Jorge - Rio Pardo (RS)","Total","Total","514","153","38","11","5","6"
"4315701006","Guerino - Rio Pardo (RS)","Total","Total","393","162","36","14","-","-"
"4315701007","Bom Fim - Rio Pardo (RS)","Total","Total","654","110","10","5","8","6"
"4315701008","Do Rosário - Rio Pardo (RS)","Total","Total","398","65","5","2","14","10"
"4315701009","Jardim Boa Vista - Rio Pardo (RS)","Total","Total","977","180","27","10","20","4"
"4315701010","Boa Vista - Rio Pardo (RS)","Total","Total","971","278","45","15","16","3"
"4315701011","Ramiz Galvão - Rio Pardo (RS)","Total","Total","873","185","15","2","15","4"
"4316105001","Centro - Ronda Alta (RS)","Total","Total","337","222","32","15","-","-"
"4316105002","Santa Bárbara - Ronda Alta (RS)","Total","Total","132","18","1","-","-","1"
"4316105003","Nossa Senhora Aparecida - Ronda Alta (RS)","Total","Total","219","67","11","2","-","-"
"4316105004","Santa Helena - Ronda Alta (RS)","Total","Total","263","48","5","2","-","-"
"4316105005","Ipiranga - Ronda Alta (RS)","Total","Total","265","54","2","1","2","-"
"4316105006","São Cristovão - Ronda Alta (RS)","Total","Total","38","5","1","-","3","-"
"4316105007","Kiri - Ronda Alta (RS)","Total","Total","95","52","7","1","-","-"
"4316105008","Vila da Boa Esperança - Ronda Alta (RS)","Total","Total","110","-","-","-","11","4"
"4316402001","Planalto - Rosário do Sul (RS)","Total","Total","192","35","8","-","2","-"
"4316402002","Tenente Bandeira - Rosário do Sul (RS)","Total","Total","301","15","-","-","21","8"
"4316402003","Graciano Argemi - Rosário do Sul (RS)","Total","Total","112","3","-","-","4","2"
"4316402004","Cirino Dorneles Apratto - Rosário do Sul (RS)","Total","Total","30","4","4","-","3","-"
"4316402005","Centro - Rosário do Sul (RS)","Total","Total","592","452","184","67","5","-"
"4316402006","Primavera - Rosário do Sul (RS)","Total","Total","349","152","45","11","4","-"
"4316402007","Areias Brancas - Rosário do Sul (RS)","Total","Total","355","105","18","3","1","6"
"4316402008","Santo Antônio - Rosário do Sul (RS)","Total","Total","76","58","27","12","-","1"
"4316402009","Progresso - Rosário do Sul (RS)","Total","Total","543","115","25","9","16","6"
"4316402010","Ana Luiza - Rosário do Sul (RS)","Total","Total","791","123","9","-","19","6"
"4316402011","Oliverio Ramos de Vasconcelos - Rosário do Sul (RS)","Total","Total","380","100","28","4","2","2"
"4316402012","Aliança - Rosário do Sul (RS)","Total","Total","38","7","1","-","-","-"
"4316402013","João Alves Osório - Rosário do Sul (RS)","Total","Total","206","11","-","-","3","3"
"4316402014","Santa Marta - Rosário do Sul (RS)","Total","Total","108","3","-","-","4","1"
"4316402015","Lafar Azevedo - Rosário do Sul (RS)","Total","Total","22","3","-","-","2","1"
"4316402016","Vila Swift - Rosário do Sul (RS)","Total","Total","19","18","6","3","-","-"
"4316402017","Jardim Paraíso - Rosário do Sul (RS)","Total","Total","287","58","5","3","5","3"
"4316402018","Nossa Senhora do Rosário - Rosário do Sul (RS)","Total","Total","401","127","14","1","1","-"
"4316402019","Vila Monte - Rosário do Sul (RS)","Total","Total","459","150","12","3","1","-"
"4316402020","Antenor Miranda Rocha - Rosário do Sul (RS)","Total","Total","534","141","25","3","1","1"
"4316402021","Eligio Canestrini - Rosário do Sul (RS)","Total","Total","48","22","1","-","-","-"
"4316402022","Adroaldo Rodrigues - Rosário do Sul (RS)","Total","Total","108","29","4","1","-","-"
"4316402023","Vila Prates - Rosário do Sul (RS)","Total","Total","95","12","1","-","1","1"
"4316402024","Santa Rita - Rosário do Sul (RS)","Total","Total","12","1","-","-","1","-"
"4316402025","Vila Nova - Rosário do Sul (RS)","Total","Total","658","59","1","-","20","14"
"4316402026","Jorge Arigoni - Rosário do Sul (RS)","Total","Total","285","31","1","2","2","2"
"4316402027","Artidor Ortiz - Rosário do Sul (RS)","Total","Total","301","52","-","-","8","-"
"4316402028","Rio Branco - Rosário do Sul (RS)","Total","Total","252","66","7","-","1","-"
"4316402029","Analvina Severo Coelho - Rosário do Sul (RS)","Total","Total","103","22","2","-","1","-"
"4316402030","Lagoa - Rosário do Sul (RS)","Total","Total","130","28","6","1","5","1"
"4316402031","Centenário - Rosário do Sul (RS)","Total","Total","375","27","1","-","18","9"
"4316402032","Presidente Vargas - Rosário do Sul (RS)","Total","Total","83","20","2","-","1","3"
"4316402033","João Nunes da Silva - Rosário do Sul (RS)","Total","Total","137","80","8","-","-","-"
"4316402034","Aracy Furtado - Rosário do Sul (RS)","Total","Total","57","3","-","-","3","-"
"4316451001","Centro - Salto do Jacuí (RS)","Total","Total","118","43","12","5","-","-"
"4316451002","Nossa Senhora dos Navegantes - Salto do Jacuí (RS)","Total","Total","314","126","35","5","2","1"
"4316451003","Cruzeiro - Salto do Jacuí (RS)","Total","Total","504","42","2","-","10","3"
"4316451004","Portão - Salto do Jacuí (RS)","Total","Total","401","86","10","3","2","8"
"4316451005","Menino Deus - Salto do Jacuí (RS)","Total","Total","606","161","15","4","5","-"
"4316451006","Harmonia - Salto do Jacuí (RS)","Total","Total","366","64","7","1","2","-"
"4316451007","Residencial Nova Jacuí - Salto do Jacuí (RS)","Total","Total","127","92","27","5","2","1"
"4316501001","Centro - Salvador do Sul (RS)","Total","Total","170","82","30","13","6","-"
"4316501002","Estação - Salvador do Sul (RS)","Total","Total","98","28","9","4","-","-"
"4316501003","Vila Nova - Salvador do Sul (RS)","Total","Total","108","38","6","2","-","-"
"4316501004","Liberdade - Salvador do Sul (RS)","Total","Total","74","16","3","1","-","-"
"4316501005","Linha do Meio - Salvador do Sul (RS)","Total","Total","58","15","3","-","1","-"
"4316501006","Bela Vista - Salvador do Sul (RS)","Total","Total","269","71","16","13","-","-"
"4316501007","Santo Inácio - Salvador do Sul (RS)","Total","Total","83","32","17","5","-","-"
"4316709001","Tiradentes - Santa Bárbara do Sul (RS)","Total","Total","303","34","2","-","2","4"
"4316709002","Padroeira - Santa Bárbara do Sul (RS)","Total","Total","21","22","12","4","-","-"
"4316709003","Cerutti - Santa Bárbara do Sul (RS)","Total","Total","47","47","26","6","-","-"
"4316709004","Loeblein - Santa Bárbara do Sul (RS)","Total","Total","101","72","24","15","3","-"
"4316709005","Aparecida - Santa Bárbara do Sul (RS)","Total","Total","357","48","3","-","-","-"
"4316709006","Centro - Santa Bárbara do Sul (RS)","Total","Total","129","105","36","18","1","-"
"4316709007","Morada do Sol - Santa Bárbara do Sul (RS)","Total","Total","476","87","13","-","2","1"
"4316709008","Fátima - Santa Bárbara do Sul (RS)","Total","Total","308","71","8","3","1","1"
"4316808001","Centro - Santa Cruz do Sul (RS)","Total","Total","1973","1320","374","122","4","1"
"4316808002","Higienópolis - Santa Cruz do Sul (RS)","Total","Total","169","209","227","220","-","-"
"4316808003","Margarida - Aurora - Santa Cruz do Sul (RS)","Total","Total","543","235","71","17","8","3"
"4316808004","Bom Fim - Santa Cruz do Sul (RS)","Total","Total","767","206","41","16","6","3"
"4316808005","Figueira - Santa Cruz do Sul (RS)","Total","Total","175","117","27","8","1","-"
"4316808006","Piratini - Santa Cruz do Sul (RS)","Total","Total","284","115","23","9","2","-"
"4316808007","Pedreira - Santa Cruz do Sul (RS)","Total","Total","432","71","13","7","11","5"
"4316808008","Senai - Santa Cruz do Sul (RS)","Total","Total","886","329","69","16","18","-"
"4316808009","Goiás - Santa Cruz do Sul (RS)","Total","Total","480","345","144","50","8","-"
"4316808010","Avenida - Santa Cruz do Sul (RS)","Total","Total","823","283","64","15","6","-"
"4316808011","Universitário - Santa Cruz do Sul (RS)","Total","Total","723","356","153","73","10","-"
"4316808012","Verena - Santa Cruz do Sul (RS)","Total","Total","874","515","209","84","1","-"
"4316808013","Santo Inácio - Santa Cruz do Sul (RS)","Total","Total","236","160","75","35","2","-"
"4316808014","Belvedere - Santa Cruz do Sul (RS)","Total","Total","236","39","6","2","2","3"
"4316808015","Monte Verde - Santa Cruz do Sul (RS)","Total","Total","129","145","32","10","5","-"
"4316808016","Arroio Grande - Santa Cruz do Sul (RS)","Total","Total","1264","471","104","19","10","-"
"4316808017","Ana Nery - Santa Cruz do Sul (RS)","Total","Total","222","82","26","5","-","-"
"4316808018","Menino Deus - Santa Cruz do Sul (RS)","Total","Total","605","63","2","-","15","-"
"4316808019","Faxinal - Santa Cruz do Sul (RS)","Total","Total","1136","234","12","5","25","1"
"4316808020","Santuário - Santa Cruz do Sul (RS)","Total","Total","516","72","11","5","6","2"
"4316808021","Bom Jesus - Santa Cruz do Sul (RS)","Total","Total","1365","275","27","4","8","23"
"4316808022","Vila Schulz - Santa Cruz do Sul (RS)","Total","Total","818","252","41","8","-","1"
"4316808023","Várzea - Santa Cruz do Sul (RS)","Total","Total","256","70","8","-","-","-"
"4316808024","Independência - Santa Cruz do Sul (RS)","Total","Total","562","230","57","9","-","-"
"4316808025","Renascença - Santa Cruz do Sul (RS)","Total","Total","538","209","44","6","8","7"
"4316808026","Entrada Rio Pardinho - Santa Cruz do Sul (RS)","Total","Total","61","13","3","1","-","2"
"4316808027","Linha Travessa Aeroporto - Santa Cruz do Sul (RS)","Total","Total","102","68","18","4","-","-"
"4316808028","Linha Santa Cruz - Santa Cruz do Sul (RS)","Total","Total","519","228","29","11","-","1"
"4316808029","Jardim Europa - Santa Cruz do Sul (RS)","Total","Total","64","40","47","29","2","3"
"4316808030","Country - Santa Cruz do Sul (RS)","Total","Total","108","109","40","25","2","-"
"4316808031","Aliança - Santa Cruz do Sul (RS)","Total","Total","707","178","16","3","-","-"
"4316808032","São João - Santa Cruz do Sul (RS)","Total","Total","238","118","10","1","-","-"
"4316808033","Ohland - Santa Cruz do Sul (RS)","Total","Total","546","126","7","-","-","-"
"4316808034","Santo Antônio - Santa Cruz do Sul (RS)","Total","Total","320","188","29","4","-","-"
"4316808035","Vila Nova - Santa Cruz do Sul (RS)","Total","Total","461","159","15","-","3","-"
"4316808036","Esmeralda - Santa Cruz do Sul (RS)","Total","Total","852","220","32","2","6","1"
"4316808037","Liberdade - Santa Cruz do Sul (RS)","Total","Total","267","51","-","-","-","-"
"4316808038","Capão da Cruz - Santa Cruz do Sul (RS)","Total","Total","45","20","2","-","-","-"
"4316808039","Rauber - Santa Cruz do Sul (RS)","Total","Total","351","38","6","1","6","4"
"4316808040","Imigrante - Santa Cruz do Sul (RS)","Total","Total","348","18","-","-","1","12"
"4316808041","Glória - Santa Cruz do Sul (RS)","Total","Total","411","52","3","-","6","2"
"4316808042","Cristal - Santa Cruz do Sul (RS)","Total","Total","351","40","1","1","6","-"
"4316808043","Harmonia - Santa Cruz do Sul (RS)","Total","Total","217","14","-","-","4","-"
"4316808044","Dona Carlota - Santa Cruz do Sul (RS)","Total","Total","491","61","4","-","16","18"
"4316808045","Navegantes - Santa Cruz do Sul (RS)","Total","Total","166","22","3","-","4","-"
"4316907001","Centro - Santa Maria (RS)","Total","Total","3306","2917","1017","279","3","-"
"4316907002","Nossa Senhora das Dores - Santa Maria (RS)","Total","Total","970","526","187","45","2","-"
"4316907003","Nossa Senhora de Lourdes - Santa Maria (RS)","Total","Total","916","724","394","179","4","-"
"4316907004","Nossa Senhora Medianeira - Santa Maria (RS)","Total","Total","1907","697","242","75","6","5"
"4316907005","Nossa Senhora do Rosário - Santa Maria (RS)","Total","Total","1362","762","171","72","4","8"
"4316907006","Salgado Filho - Santa Maria (RS)","Total","Total","2376","436","45","13","78","29"
"4316907007","Chácara das Flores - Santa Maria (RS)","Total","Total","922","155","28","8","18","1"
"4316907008","Nossa Senhora do Perpétuo Socorro - Santa Maria (RS)","Total","Total","1307","503","129","47","15","3"
"4316907009","Itararé - Santa Maria (RS)","Total","Total","1613","482","102","33","45","12"
"4316907010","Presidente João Goulart - Santa Maria (RS)","Total","Total","1286","409","70","25","65","24"
"4316907011","Km Três - Santa Maria (RS)","Total","Total","520","174","45","15","22","13"
"4316907012","São José - Santa Maria (RS)","Total","Total","970","531","180","97","11","-"
"4316907013","Cerrito - Santa Maria (RS)","Total","Total","206","60","21","39","5","3"
"4316907014","Urlândia - Santa Maria (RS)","Total","Total","2350","386","38","5","38","29"
"4316907015","Tomazzetti - Santa Maria (RS)","Total","Total","453","117","25","19","1","2"
"4316907016","Patronato - Santa Maria (RS)","Total","Total","449","200","97","45","2","1"
"4316907017","Passo D'Areia - Santa Maria (RS)","Total","Total","1572","518","111","36","13","21"
"4316907018","Juscelino Kubitschek - Santa Maria (RS)","Total","Total","3556","943","112","31","30","9"
"4316907019","Pinheiro Machado - Santa Maria (RS)","Total","Total","2699","656","113","28","7","22"
"4316907021","Caturrita - Santa Maria (RS)","Total","Total","881","80","10","2","24","9"
"4316907022","Pé de Platano - Santa Maria (RS)","Total","Total","452","167","35","13","2","1"
"4316907023","Camobi - Santa Maria (RS)","Total","Total","4315","2064","652","205","21","22"
"4316907025","Agro-Industrial - Santa Maria (RS)","Total","Total","49","5","2","-","13","4"
"4316907026","Boi Morto - Santa Maria (RS)","Total","Total","693","112","18","6","6","2"
"4316907027","Bonfim - Santa Maria (RS)","Total","Total","1086","1280","418","91","2","-"
"4316907028","Campestre do Menino Deus - Santa Maria (RS)","Total","Total","672","132","17","7","22","2"
"4316907029","Carolina - Santa Maria (RS)","Total","Total","823","176","21","3","25","9"
"4316907030","Divina Providência - Santa Maria (RS)","Total","Total","332","39","8","-","4","5"
"4316907031","Duque de Caxias - Santa Maria (RS)","Total","Total","616","298","155","91","2","2"
"4316907032","João Luiz Pozzobon - Santa Maria (RS)","Total","Total","687","130","17","1","40","14"
"4316907033","Lorenzi - Santa Maria (RS)","Total","Total","1335","216","28","10","73","16"
"4316907034","Menino Jesus - Santa Maria (RS)","Total","Total","1068","702","181","37","4","2"
"4316907035","Noal - Santa Maria (RS)","Total","Total","1499","404","160","95","119","20"
"4316907036","Nonoai - Santa Maria (RS)","Total","Total","987","316","141","50","12","1"
"4316907037","Nossa Senhora de Fátima - Santa Maria (RS)","Total","Total","1442","1426","483","150","-","-"
"4316907038","Nova Santa Marta - Santa Maria (RS)","Total","Total","3177","239","15","2","151","61"
"4316907039","Renascença - Santa Maria (RS)","Total","Total","598","36","6","2","10","5"
"4316907040","São João - Santa Maria (RS)","Total","Total","436","107","14","2","-","-"
"4316907041","Tancredo Neves - Santa Maria (RS)","Total","Total","2541","985","97","15","5","2"
"4316907042","Uglione - Santa Maria (RS)","Total","Total","518","92","35","5","3","-"
"4316907043","Dom Antônio Reis - Santa Maria (RS)","Total","Total","311","215","77","10","1","-"
"4317103001","Centro - Sant'Ana do Livramento (RS)","Total","Total","1839","1302","454","161","32","4"
"4317103002","Divisa - Sant'Ana do Livramento (RS)","Total","Total","2256","461","95","17","39","21"
"4317103003","Registro - Sant'Ana do Livramento (RS)","Total","Total","995","60","2","3","78","21"
"4317103004","Prado - Sant'Ana do Livramento (RS)","Total","Total","1579","295","46","17","52","7"
"4317103005","Cerro do Depósito - Sant'Ana do Livramento (RS)","Total","Total","19","3","-","-","2","-"
"4317103006","Batuva - Sant'Ana do Livramento (RS)","Total","Total","33","9","3","-","4","-"
"4317103007","Fluminense - Sant'Ana do Livramento (RS)","Total","Total","399","91","18","2","1","-"
"4317103008","Dos Jardins - Sant'Ana do Livramento (RS)","Total","Total","1261","301","115","28","7","5"
"4317103009","Internacional - Sant'Ana do Livramento (RS)","Total","Total","36","27","10","5","-","-"
"4317103010","Km 5 - Sant'Ana do Livramento (RS)","Total","Total","174","16","1","-","5","3"
"4317103011","Tabatinga - Sant'Ana do Livramento (RS)","Total","Total","604","33","5","1","30","15"
"4317103012","Wilson - Sant'Ana do Livramento (RS)","Total","Total","786","56","5","-","45","13"
"4317103013","Carolina - Sant'Ana do Livramento (RS)","Total","Total","515","50","5","1","14","3"
"4317103014","Industrial - Sant'Ana do Livramento (RS)","Total","Total","26","-","-","-","3","-"
"4317103015","Brasília - Sant'Ana do Livramento (RS)","Total","Total","606","60","5","3","9","8"
"4317103016","Parque do Sol - Sant'Ana do Livramento (RS)","Total","Total","470","41","3","1","12","6"
"4317103017","Parque das Águas - Sant'Ana do Livramento (RS)","Total","Total","721","60","2","-","20","11"
"4317103018","Umbu - Sant'Ana do Livramento (RS)","Total","Total","466","143","62","74","2","4"
"4317103019","Kennedy - Sant'Ana do Livramento (RS)","Total","Total","375","47","5","1","13","-"
"4317103020","Argiles - Sant'Ana do Livramento (RS)","Total","Total","471","95","13","2","11","3"
"4317103021","Simon Bolivar - Sant'Ana do Livramento (RS)","Total","Total","213","1","1","-","19","5"
"4317103022","Real - Sant'Ana do Livramento (RS)","Total","Total","184","4","-","-","7","4"
"4317103023","Parque São José - Sant'Ana do Livramento (RS)","Total","Total","694","55","7","3","42","10"
"4317103024","Planalto - Sant'Ana do Livramento (RS)","Total","Total","570","134","22","2","19","1"
"4317103025","Morada da Colina - Sant'Ana do Livramento (RS)","Total","Total","475","46","4","-","8","1"
"4317103026","Bela Vista - Sant'Ana do Livramento (RS)","Total","Total","440","54","1","-","12","8"
"4317103027","Cohab do Armour - Sant'Ana do Livramento (RS)","Total","Total","232","107","21","3","1","-"
"4317103028","Hidráulica - Sant'Ana do Livramento (RS)","Total","Total","774","393","104","45","-","3"
"4317103029","Fortim - Sant'Ana do Livramento (RS)","Total","Total","127","99","27","8","-","-"
"4317103030","Carajá - Sant'Ana do Livramento (RS)","Total","Total","178","19","-","-","5","-"
"4317103031","Armour - Sant'Ana do Livramento (RS)","Total","Total","346","77","12","4","3","-"
"4317103032","São Paulo - Sant'Ana do Livramento (RS)","Total","Total","451","37","2","-","37","21"
"4317202001","Sulina - Santa Rosa (RS)","Total","Total","1551","431","62","12","3","1"
"4317202002","Cruzeiro - Santa Rosa (RS)","Total","Total","3202","878","125","24","20","13"
"4317202003","Central - Santa Rosa (RS)","Total","Total","1625","734","180","40","5","1"
"4317202004","Planalto - Santa Rosa (RS)","Total","Total","1579","375","19","3","4","-"
"4317202005","Timbaúva - Santa Rosa (RS)","Total","Total","951","401","43","6","1","-"
"4317202006","Glória - Santa Rosa (RS)","Total","Total","828","344","86","30","-","-"
"4317202007","São Francisco - Santa Rosa (RS)","Total","Total","389","292","102","22","8","3"
"4317202008","Auxiliadora - Santa Rosa (RS)","Total","Total","550","69","1","-","15","1"
"4317202009","Figueira - Santa Rosa (RS)","Total","Total","63","14","2","-","1","1"
"4317202010","Industrial - Santa Rosa (RS)","Total","Total","51","8","2","1","1","1"
"4317202011","Centro - Santa Rosa (RS)","Total","Total","2854","1549","534","160","30","-"
"4317301001","Centro - Santa Vitória do Palmar (RS)","Total","Total","951","484","112","47","-","-"
"4317301002","Donatos - Santa Vitória do Palmar (RS)","Total","Total","1107","248","20","9","1","1"
"4317301003","Coxilha - Santa Vitória do Palmar (RS)","Total","Total","905","174","25","13","4","-"
"4317301004","Cardeal - Santa Vitória do Palmar (RS)","Total","Total","401","71","2","1","3","-"
"4317301005","Brasiliano - Santa Vitória do Palmar (RS)","Total","Total","921","117","7","1","13","2"
"4317301006","Vitoriense - Santa Vitória do Palmar (RS)","Total","Total","250","38","3","-","1","1"
"4317301007","São Miguel - Santa Vitória do Palmar (RS)","Total","Total","106","14","2","2","-","2"
"4317301008","Santa Júlia - Santa Vitória do Palmar (RS)","Total","Total","207","14","2","-","3","-"
"4317301009","Bento Gonçalves - Santa Vitória do Palmar (RS)","Total","Total","126","18","-","2","1","-"
"4317301010","Vila Rodrigues - Santa Vitória do Palmar (RS)","Total","Total","439","22","1","-","1","-"
"4317301011","Coab II - Santa Vitória do Palmar (RS)","Total","Total","142","53","6","3","-","-"
"4317301012","Getúlio Vargas - Santa Vitória do Palmar (RS)","Total","Total","173","27","1","-","1","-"
"4317301013","Vila Nova - Santa Vitória do Palmar (RS)","Total","Total","100","9","1","-","-","3"
"4317301014","Jacinto - Santa Vitória do Palmar (RS)","Total","Total","416","57","2","2","1","1"
"4317301015","Aviação - Santa Vitória do Palmar (RS)","Total","Total","276","32","-","-","1","5"
"4317301016","Porto Pindorama - Santa Vitória do Palmar (RS)","Total","Total","119","15","2","-","-","3"
"4317400001","São Vicente - Santiago (RS)","Total","Total","220","47","4","-","2","-"
"4317400002","Vila Itú - Santiago (RS)","Total","Total","676","137","16","3","6","1"
"4317400003","Vila Nova - Santiago (RS)","Total","Total","539","249","46","16","9","1"
"4317400004","Nei Pereira - Santiago (RS)","Total","Total","374","72","4","1","-","2"
"4317400005","Irmã Dulce - Santiago (RS)","Total","Total","131","17","1","-","-","-"
"4317400006","Santiago Pompeu - Santiago (RS)","Total","Total","378","124","24","4","-","-"
"4317400007","Daer - Santiago (RS)","Total","Total","119","15","1","-","1","1"
"4317400008","Lulu Genro - Santiago (RS)","Total","Total","511","164","30","9","-","-"
"4317400009","Riachuelo - Santiago (RS)","Total","Total","318","101","16","4","1","-"
"4317400010","Céu Aberto - Santiago (RS)","Total","Total","119","36","10","1","-","-"
"4317400011","Maria Alice Gomes - Santiago (RS)","Total","Total","146","101","65","20","-","-"
