"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2100436","Alto Alegre do Maranhão (MA)","Total","35 a 39 anos","1406","232","214","355","142","29","17","10","1","-","-","-","406","-"
"2100436","Alto Alegre do Maranhão (MA)","Total","40 a 44 anos","1271","212","181","381","107","14","10","10","2","1","-","-","353","-"
"2100436","Alto Alegre do Maranhão (MA)","Total","45 a 49 anos","1101","174","128","336","90","17","10","7","1","-","-","-","338","-"
"2100436","Alto Alegre do Maranhão (MA)","Total","50 a 54 anos","953","155","100","351","47","13","7","10","1","1","-","-","268","-"
"2100436","Alto Alegre do Maranhão (MA)","Total","55 a 59 anos","750","65","74","358","45","5","4","4","2","-","-","-","193","-"
"2100436","Alto Alegre do Maranhão (MA)","Total","60 a 69 anos","1088","34","52","783","71","13","6","2","2","1","-","-","124","-"
"2100436","Alto Alegre do Maranhão (MA)","Total","70 anos ou mais","925","8","18","767","72","9","1","-","-","-","-","-","50","-"
"2100477","Alto Alegre do Pindaré (MA)","Total","10 a 14 anos","3991","149","30","13","-","-","-","-","-","-","-","-","3799","-"
"2100477","Alto Alegre do Pindaré (MA)","Total","15 a 19 anos","3400","201","137","91","19","4","1","-","-","-","-","-","2947","-"
"2100477","Alto Alegre do Pindaré (MA)","Total","15 a 17 anos","2142","117","75","28","4","1","-","-","-","-","-","-","1917","-"
"2100477","Alto Alegre do Pindaré (MA)","Total","18 ou 19 anos","1258","84","62","63","15","3","1","-","-","-","-","-","1030","-"
"2100477","Alto Alegre do Pindaré (MA)","Total","20 a 24 anos","2805","309","237","293","103","20","4","2","-","-","-","-","1837","-"
"2100477","Alto Alegre do Pindaré (MA)","Total","25 a 29 anos","2597","364","371","352","209","31","16","9","-","1","1","-","1243","-"
"2100477","Alto Alegre do Pindaré (MA)","Total","30 a 34 anos","2078","255","390","326","147","57","12","10","1","-","1","-","879","-"
"2100477","Alto Alegre do Pindaré (MA)","Total","35 a 39 anos","1578","223","273","243","110","48","18","9","1","-","-","-","653","-"
"2100477","Alto Alegre do Pindaré (MA)","Total","40 a 44 anos","1386","223","223","241","88","20","22","12","-","-","-","-","557","-"
"2100477","Alto Alegre do Pindaré (MA)","Total","45 a 49 anos","1201","236","141","207","70","12","8","6","2","-","1","-","518","-"
"2100477","Alto Alegre do Pindaré (MA)","Total","50 a 54 anos","1043","174","103","213","45","17","9","3","-","-","-","-","479","-"
"2100477","Alto Alegre do Pindaré (MA)","Total","55 a 59 anos","1014","81","63","404","59","7","5","5","-","2","-","-","388","-"
"2100477","Alto Alegre do Pindaré (MA)","Total","60 a 69 anos","1597","30","33","1000","109","20","10","5","1","2","1","1","385","-"
"2100477","Alto Alegre do Pindaré (MA)","Total","70 anos ou mais","1177","7","10","851","75","7","1","3","-","-","-","1","222","-"
"2100501","Alto Parnaíba (MA)","Total","10 a 14 anos","1314","39","11","12","-","-","-","-","-","-","-","-","1252","-"
"2100501","Alto Parnaíba (MA)","Total","15 a 19 anos","1165","54","66","85","5","-","-","-","-","-","-","-","955","-"
"2100501","Alto Parnaíba (MA)","Total","15 a 17 anos","756","29","46","39","1","-","-","-","-","-","-","-","641","-"
"2100501","Alto Parnaíba (MA)","Total","18 ou 19 anos","409","25","20","46","4","-","-","-","-","-","-","-","314","-"
"2100501","Alto Parnaíba (MA)","Total","20 a 24 anos","945","61","71","180","63","9","4","1","-","-","-","-","556","-"
"2100501","Alto Parnaíba (MA)","Total","25 a 29 anos","831","62","89","198","68","21","11","2","-","1","1","-","378","-"
"2100501","Alto Parnaíba (MA)","Total","30 a 34 anos","695","43","95","144","81","8","17","6","1","1","-","-","299","-"
"2100501","Alto Parnaíba (MA)","Total","35 a 39 anos","578","30","62","119","90","18","17","9","2","1","-","-","230","-"
"2100501","Alto Parnaíba (MA)","Total","40 a 44 anos","527","26","54","106","59","17","15","17","-","-","-","1","232","-"
"2100501","Alto Parnaíba (MA)","Total","45 a 49 anos","533","31","49","117","68","22","10","10","3","-","2","1","220","-"
"2100501","Alto Parnaíba (MA)","Total","50 a 54 anos","515","29","26","113","48","15","10","9","1","2","-","3","259","-"
"2100501","Alto Parnaíba (MA)","Total","55 a 59 anos","363","14","13","111","26","10","7","8","1","2","1","-","170","-"
"2100501","Alto Parnaíba (MA)","Total","60 a 69 anos","539","7","9","324","38","11","4","7","-","-","1","2","136","-"
"2100501","Alto Parnaíba (MA)","Total","70 anos ou mais","450","1","2","294","49","2","5","3","-","3","-","-","91","-"
"2100550","Amapá do Maranhão (MA)","Total","10 a 14 anos","856","29","4","6","-","1","-","-","-","-","-","-","816","-"
"2100550","Amapá do Maranhão (MA)","Total","15 a 19 anos","689","71","34","33","5","-","-","-","-","-","-","-","546","-"
"2100550","Amapá do Maranhão (MA)","Total","15 a 17 anos","401","37","15","7","1","-","-","-","-","-","-","-","341","-"
"2100550","Amapá do Maranhão (MA)","Total","18 ou 19 anos","288","34","19","26","4","-","-","-","-","-","-","-","205","-"
"2100550","Amapá do Maranhão (MA)","Total","20 a 24 anos","627","100","67","92","23","2","-","1","-","-","-","-","342","-"
"2100550","Amapá do Maranhão (MA)","Total","25 a 29 anos","535","81","103","108","48","6","4","1","-","-","1","-","183","-"
"2100550","Amapá do Maranhão (MA)","Total","30 a 34 anos","435","68","78","76","38","17","11","4","-","-","-","-","143","-"
"2100550","Amapá do Maranhão (MA)","Total","35 a 39 anos","332","62","53","48","32","10","8","7","-","2","-","-","110","-"
"2100550","Amapá do Maranhão (MA)","Total","40 a 44 anos","284","58","39","56","28","1","5","2","-","-","1","-","94","-"
"2100550","Amapá do Maranhão (MA)","Total","45 a 49 anos","254","51","39","56","24","6","5","-","-","-","-","-","73","-"
"2100550","Amapá do Maranhão (MA)","Total","50 a 54 anos","218","52","18","47","13","3","-","3","-","-","-","-","82","-"
"2100550","Amapá do Maranhão (MA)","Total","55 a 59 anos","161","14","14","59","11","2","1","-","-","-","-","-","60","-"
"2100550","Amapá do Maranhão (MA)","Total","60 a 69 anos","295","1","13","222","28","6","2","1","-","-","-","-","22","-"
"2100550","Amapá do Maranhão (MA)","Total","70 anos ou mais","164","-","6","147","6","-","1","-","-","-","-","-","4","-"
"2100600","Amarante do Maranhão (MA)","Total","10 a 14 anos","4614","207","46","32","1","-","-","-","-","-","-","-","4328","-"
"2100600","Amarante do Maranhão (MA)","Total","15 a 19 anos","3852","394","273","216","22","1","-","-","-","-","-","-","2946","-"
"2100600","Amarante do Maranhão (MA)","Total","15 a 17 anos","2376","197","122","72","3","-","-","-","-","-","-","-","1982","-"
"2100600","Amarante do Maranhão (MA)","Total","18 ou 19 anos","1476","197","151","144","19","1","-","-","-","-","-","-","964","-"
"2100600","Amarante do Maranhão (MA)","Total","20 a 24 anos","3468","567","508","579","175","14","15","3","-","-","-","-","1607","-"
"2100600","Amarante do Maranhão (MA)","Total","25 a 29 anos","3052","505","700","614","222","39","36","10","2","1","-","-","923","-"
"2100600","Amarante do Maranhão (MA)","Total","30 a 34 anos","2583","336","621","547","282","65","39","15","1","2","-","-","675","-"
"2100600","Amarante do Maranhão (MA)","Total","35 a 39 anos","2018","279","393","448","226","56","34","14","4","1","1","2","560","-"
"2100600","Amarante do Maranhão (MA)","Total","40 a 44 anos","1701","230","290","362","187","45","41","26","2","-","-","2","516","-"
"2100600","Amarante do Maranhão (MA)","Total","45 a 49 anos","1495","222","196","364","132","38","27","29","1","1","-","-","485","-"
"2100600","Amarante do Maranhão (MA)","Total","50 a 54 anos","1301","185","173","291","109","27","20","15","2","-","-","-","479","-"
"2100600","Amarante do Maranhão (MA)","Total","55 a 59 anos","1108","51","98","480","108","21","25","8","-","-","1","1","315","-"
"2100600","Amarante do Maranhão (MA)","Total","60 a 69 anos","1707","18","71","1191","201","30","19","14","1","3","-","-","159","-"
"2100600","Amarante do Maranhão (MA)","Total","70 anos ou mais","1323","7","47","1009","185","16","7","1","1","1","-","-","49","-"
"2100709","Anajatuba (MA)","Total","10 a 14 anos","2759","55","12","15","2","-","1","-","-","-","-","-","2674","-"
"2100709","Anajatuba (MA)","Total","15 a 19 anos","2563","155","54","58","20","-","-","1","-","-","-","-","2275","-"
"2100709","Anajatuba (MA)","Total","15 a 17 anos","1591","79","24","21","2","-","-","-","-","-","-","-","1465","-"
"2100709","Anajatuba (MA)","Total","18 ou 19 anos","972","76","30","37","18","-","-","1","-","-","-","-","810","-"
"2100709","Anajatuba (MA)","Total","20 a 24 anos","2470","299","182","252","124","16","4","2","1","-","-","-","1590","-"
"2100709","Anajatuba (MA)","Total","25 a 29 anos","2283","342","269","333","161","29","8","3","-","1","1","-","1136","-"
"2100709","Anajatuba (MA)","Total","30 a 34 anos","1917","327","285","289","145","34","17","5","2","-","-","-","813","-"
"2100709","Anajatuba (MA)","Total","35 a 39 anos","1532","312","214","244","88","22","25","7","-","-","-","-","620","-"
"2100709","Anajatuba (MA)","Total","40 a 44 anos","1283","270","153","228","73","38","20","6","1","-","-","-","494","-"
"2100709","Anajatuba (MA)","Total","45 a 49 anos","1178","258","100","190","91","33","22","7","2","-","-","-","475","-"
"2100709","Anajatuba (MA)","Total","50 a 54 anos","1011","217","81","216","58","22","19","6","-","1","-","-","391","-"
"2100709","Anajatuba (MA)","Total","55 a 59 anos","889","108","47","338","55","8","9","10","-","1","1","-","312","-"
"2100709","Anajatuba (MA)","Total","60 a 69 anos","1391","38","24","955","127","15","18","9","-","1","1","-","203","-"
"2100709","Anajatuba (MA)","Total","70 anos ou mais","1345","5","5","1083","132","8","9","4","-","1","-","1","97","-"
"2100808","Anapurus (MA)","Total","10 a 14 anos","1611","29","5","7","2","-","-","-","-","-","-","-","1568","-"
"2100808","Anapurus (MA)","Total","15 a 19 anos","1484","116","50","53","8","2","1","-","-","-","-","-","1254","-"
"2100808","Anapurus (MA)","Total","15 a 17 anos","883","62","13","18","2","-","-","-","-","-","-","-","788","-"
"2100808","Anapurus (MA)","Total","18 ou 19 anos","601","54","37","35","6","2","1","-","-","-","-","-","466","-"
"2100808","Anapurus (MA)","Total","20 a 24 anos","1347","174","109","212","41","4","3","3","-","1","-","-","800","-"
"2100808","Anapurus (MA)","Total","25 a 29 anos","1281","171","195","233","96","20","9","3","-","2","-","-","552","-"
"2100808","Anapurus (MA)","Total","30 a 34 anos","997","143","170","221","102","20","14","9","1","-","-","-","317","-"
"2100808","Anapurus (MA)","Total","35 a 39 anos","807","115","131","181","75","23","17","14","-","-","-","1","250","-"
"2100808","Anapurus (MA)","Total","40 a 44 anos","699","111","89","146","74","18","13","8","2","-","-","-","238","-"
"2100808","Anapurus (MA)","Total","45 a 49 anos","577","110","60","119","41","14","12","8","-","-","-","-","213","-"
"2100808","Anapurus (MA)","Total","50 a 54 anos","474","88","41","110","36","11","10","5","3","-","-","1","169","-"
"2100808","Anapurus (MA)","Total","55 a 59 anos","423","40","32","186","24","6","9","7","1","-","-","1","117","-"
"2100808","Anapurus (MA)","Total","60 a 69 anos","590","14","17","421","51","13","10","4","-","-","-","-","60","-"
"2100808","Anapurus (MA)","Total","70 anos ou mais","512","1","5","426","49","7","3","1","-","-","-","1","19","-"
"2100832","Apicum-Açu (MA)","Total","10 a 14 anos","1834","110","21","16","-","-","-","-","-","-","-","-","1687","-"
"2100832","Apicum-Açu (MA)","Total","15 a 19 anos","1810","217","94","63","8","1","-","-","-","-","-","-","1427","-"
"2100832","Apicum-Açu (MA)","Total","15 a 17 anos","1167","130","45","26","1","-","-","-","-","-","-","-","965","-"
"2100832","Apicum-Açu (MA)","Total","18 ou 19 anos","643","87","49","37","7","1","-","-","-","-","-","-","462","-"
"2100832","Apicum-Açu (MA)","Total","20 a 24 anos","1585","306","185","262","63","3","2","4","-","-","-","-","760","-"
"2100832","Apicum-Açu (MA)","Total","25 a 29 anos","1345","285","259","289","118","27","14","4","-","-","-","-","349","-"
"2100832","Apicum-Açu (MA)","Total","30 a 34 anos","1012","236","244","210","98","25","16","10","-","1","-","-","172","-"
"2100832","Apicum-Açu (MA)","Total","35 a 39 anos","845","192","215","169","93","18","13","6","2","1","-","1","135","-"
"2100832","Apicum-Açu (MA)","Total","40 a 44 anos","699","174","166","140","78","20","13","7","1","-","-","-","100","-"
"2100832","Apicum-Açu (MA)","Total","45 a 49 anos","677","163","140","170","58","14","12","4","1","-","-","-","115","-"
"2100832","Apicum-Açu (MA)","Total","50 a 54 anos","514","144","93","120","55","11","5","4","2","-","-","-","80","-"
"2100832","Apicum-Açu (MA)","Total","55 a 59 anos","461","78","75","179","40","7","3","1","3","1","-","-","74","-"
"2100832","Apicum-Açu (MA)","Total","60 a 69 anos","591","44","35","400","56","9","4","1","-","-","-","-","42","-"
"2100832","Apicum-Açu (MA)","Total","70 anos ou mais","522","3","13","443","37","3","3","1","-","-","-","-","19","-"
"2100873","Araguanã (MA)","Total","10 a 14 anos","1735","51","11","8","1","-","-","-","-","-","-","-","1664","-"
"2100873","Araguanã (MA)","Total","15 a 19 anos","1330","89","54","35","4","-","-","-","-","-","-","-","1148","-"
"2100873","Araguanã (MA)","Total","15 a 17 anos","829","44","20","14","1","-","-","-","-","-","-","-","750","-"
