"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2300309008","Vila São João - Acopiara (CE)","Total","15 a 17 anos","111","4","4","6","-","-","-","-","-","-","-","-","97","-"
"2300309008","Vila São João - Acopiara (CE)","Total","18 ou 19 anos","88","14","10","8","1","-","-","-","-","-","-","-","55","-"
"2300309008","Vila São João - Acopiara (CE)","Total","20 a 24 anos","187","20","34","46","8","-","-","-","-","-","-","-","79","-"
"2300309008","Vila São João - Acopiara (CE)","Total","25 a 29 anos","141","22","20","52","11","1","-","-","-","-","-","-","35","-"
"2300309008","Vila São João - Acopiara (CE)","Total","30 a 34 anos","137","22","22","44","18","2","1","-","-","-","-","-","28","-"
"2300309008","Vila São João - Acopiara (CE)","Total","35 a 39 anos","144","26","20","53","13","2","-","-","-","-","-","-","30","-"
"2300309008","Vila São João - Acopiara (CE)","Total","40 a 44 anos","100","15","15","37","8","3","-","-","-","-","-","-","22","-"
"2300309008","Vila São João - Acopiara (CE)","Total","45 a 49 anos","104","10","14","38","9","2","-","-","-","-","-","-","31","-"
"2300309008","Vila São João - Acopiara (CE)","Total","50 a 54 anos","92","17","8","27","7","1","-","-","-","-","-","-","32","-"
"2300309008","Vila São João - Acopiara (CE)","Total","55 a 59 anos","55","10","1","14","10","1","-","-","-","-","-","-","19","-"
"2300309008","Vila São João - Acopiara (CE)","Total","60 a 69 anos","133","5","1","76","11","2","1","-","1","-","-","-","36","-"
"2300309008","Vila São João - Acopiara (CE)","Total","70 anos ou mais","133","-","-","94","17","-","-","-","-","-","-","-","22","-"
"2300309009","Nossa Senhora Aparecida - Acopiara (CE)","Total","10 a 14 anos","100","8","-","2","-","-","-","-","-","-","-","-","90","-"
"2300309009","Nossa Senhora Aparecida - Acopiara (CE)","Total","15 a 19 anos","99","9","4","3","1","-","-","-","-","-","-","-","82","-"
"2300309009","Nossa Senhora Aparecida - Acopiara (CE)","Total","15 a 17 anos","62","6","1","-","-","-","-","-","-","-","-","-","55","-"
"2300309009","Nossa Senhora Aparecida - Acopiara (CE)","Total","18 ou 19 anos","37","3","3","3","1","-","-","-","-","-","-","-","27","-"
"2300309009","Nossa Senhora Aparecida - Acopiara (CE)","Total","20 a 24 anos","107","21","13","18","1","-","-","-","-","-","-","-","54","-"
