"Tabela 2031 - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência (Pessoas)"
"Cód.","Município","Ano x Posição na ocupação e categoria do emprego no trabalho principal"
"Cód.","Município","2010"
"Cód.","Município","Total","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria"
"1503002","Faro (PA)","2545","237","342","611","96","683","-","576"
"1503044","Floresta do Araguaia (PA)","6129","505","542","1782","392","924","9","1974"
"1503077","Garrafão do Norte (PA)","10480","283","477","3760","448","1016","19","4478"
"1503093","Goianésia do Pará (PA)","10623","2010","756","4785","243","374","93","2361"
"1503101","Gurupá (PA)","9739","284","224","2517","402","1163","37","5111"
"1503200","Igarapé-Açu (PA)","12694","1281","635","4065","391","2026","138","4157"
"1503309","Igarapé-Miri (PA)","21367","1235","1236","5998","806","2178","257","9656"
"1503408","Inhangapi (PA)","3403","612","232","849","332","249","12","1117"
"1503457","Ipixuna do Pará (PA)","13261","1691","1215","4742","282","1834","63","3435"
"1503507","Irituia (PA)","13432","927","635","2783","1821","2699","48","4519"
"1503606","Itaituba (PA)","37741","7431","2992","12228","692","2323","719","11357"
"1503705","Itupiranga (PA)","16471","1433","851","4621","462","3943","191","4970"
"1503754","Jacareacanga (PA)","4809","255","216","2194","91","634","50","1368"
"1503804","Jacundá (PA)","18441","4215","920","6559","799","831","542","4575"
"1503903","Juruti (PA)","15862","2407","1172","2941","261","3697","107","5277"
"1504000","Limoeiro do Ajuru (PA)","9859","166","605","1480","242","2638","19","4710"
"1504059","Mãe do Rio (PA)","10116","1442","574","3957","239","312","71","3523"
"1504109","Magalhães Barata (PA)","2448","165","136","736","28","508","26","850"
"1504208","Marabá (PA)","93234","30980","8607","21624","2473","4264","1205","24081"
"1504307","Maracanã (PA)","9694","269","588","2584","166","1686","8","4393"
"1504406","Marapanim (PA)","10249","633","589","2401","385","1538","48","4654"
"1504422","Marituba (PA)","40003","17486","2788","9204","739","291","112","9382"
"1504455","Medicilândia (PA)","11393","841","420","4059","225","895","415","4538"
"1504505","Melgaço (PA)","6899","250","268","1561","255","1356","7","3203"
"1504604","Mocajuba (PA)","10397","414","913","2012","1321","1631","10","4096"
"1504703","Moju (PA)","26015","4847","1044","5417","1123","3797","67","9719"
"1504802","Monte Alegre (PA)","19955","1280","1283","4191","2084","3748","143","7227"
"1504901","Muaná (PA)","11319","485","647","2741","310","1353","85","5696"
"1504950","Nova Esperança do Piriá (PA)","6861","120","242","2338","442","1582","26","2111"
"1504976","Nova Ipixuna (PA)","5711","427","386","2008","194","819","15","1862"
"1505007","Nova Timboteua (PA)","5149","447","489","1346","288","394","-","2185"
"1505031","Novo Progresso (PA)","12747","2265","481","4737","234","770","649","3611"
"1505064","Novo Repartimento (PA)","22370","2141","1191","7930","1016","3315","216","6560"
"1505106","Óbidos (PA)","18591","1657","831","4056","795","3213","241","7797"
"1505205","Oeiras do Pará (PA)","10255","590","539","1671","1210","1345","51","4850"
"1505304","Oriximiná (PA)","21979","3922","2022","4216","936","3631","119","7133"
"1505403","Ourém (PA)","5355","336","153","2020","72","711","31","2033"
"1505437","Ourilândia do Norte (PA)","10803","4066","496","2368","632","829","50","2363"
"1505486","Pacajá (PA)","13352","1050","686","3632","1144","2857","144","3839"
"1505494","Palestina do Pará (PA)","2482","302","289","857","106","347","3","579"
"1505502","Paragominas (PA)","38063","15631","1684","10494","386","968","586","8315"
