"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"5000856","Angélica (MS)","Total","25 a 29 anos","788","31","50","102","264","113","57","9","2","1","2","1","156","-"
"5000856","Angélica (MS)","Total","30 a 34 anos","718","28","47","126","217","86","54","16","1","1","-","-","142","-"
"5000856","Angélica (MS)","Total","35 a 39 anos","716","28","35","118","235","84","79","17","1","1","-","-","118","-"
"5000856","Angélica (MS)","Total","40 a 44 anos","699","22","25","126","219","63","63","21","1","2","1","-","156","-"
"5000856","Angélica (MS)","Total","45 a 49 anos","583","15","24","125","155","58","36","21","1","-","1","-","147","-"
"5000856","Angélica (MS)","Total","50 a 54 anos","462","14","21","113","91","42","26","19","3","1","1","-","131","-"
"5000856","Angélica (MS)","Total","55 a 59 anos","367","4","7","145","81","21","21","12","2","1","2","2","69","-"
"5000856","Angélica (MS)","Total","60 a 69 anos","544","-","3","291","110","36","18","15","2","1","1","2","65","-"
"5000856","Angélica (MS)","Total","70 anos ou mais","469","2","1","317","86","11","8","2","-","1","1","-","40","-"
"5000906","Antônio João (MS)","Total","10 a 14 anos","933","36","21","14","-","1","-","-","-","-","-","-","861","-"
