"Tabela 1384 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Universo"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Ano x Classes de rendimento nominal mensal"
"Cód.","Bairro","2010"
"Cód.","Bairro","Total","Até 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 20 salários mínimos","Mais de 20 salários mínimos","Sem rendimento","Sem declaração"
"1301100002","Urbano Vista Alegre - Careiro (AM)","936","48","213","171","92","12","2","1","397","-"
"1301100003","Urbano Horizonte - Careiro (AM)","2887","289","672","407","180","21","2","1","1315","-"
"1301100004","Urbano Industrial - Careiro (AM)","36","4","2","10","2","-","-","-","18","-"
"1301100005","Urbano Sebastião Borges - Careiro (AM)","1379","265","374","161","36","8","1","1","533","-"
"1301209001","Do Pera - Coari (AM)","2784","271","592","323","79","14","4","1","1500","-"
"1301209002","Chagas Aguiar - Coari (AM)","4915","328","1197","596","285","70","10","4","2425","-"
"1301209003","Santa Helena - Coari (AM)","2609","120","629","387","143","20","3","6","1301","-"
"1301209004","Duque de Caxias - Coari (AM)","2493","117","546","339","110","32","8","2","1339","-"
"1301209005","Itamarati - Coari (AM)","4083","290","853","507","217","49","14","8","2145","-"
"1301209006","Santa Efigênia - Coari (AM)","2386","222","521","286","135","35","3","-","1184","-"
"1301209007","União - Coari (AM)","4746","421","936","661","357","121","39","14","2197","-"
"1301209008","Urucu - Coari (AM)","4512","395","992","615","246","54","8","7","2195","-"
"1301209009","Espírito Santo - Coari (AM)","1976","102","433","312","131","37","6","3","952","-"
"1301209010","Tauá Mirim - Coari (AM)","3753","174","833","500","332","84","22","12","1796","-"
"1301209011","Centro - Coari (AM)","3635","137","667","697","382","135","34","19","1564","-"
"1301407001","Centro - Eirunepé (AM)","950","123","171","105","69","36","18","9","419","-"
"1301407002","Nossa Senhora do Perpétuo Socorro - Eirunepé (AM)","2497","417","513","149","43","10","1","-","1364","-"
"1301407003","Santo Antônio - Eirunepé (AM)","3381","709","724","233","88","11","4","-","1612","-"
"1301407004","Nossa Senhora Aparecida - Eirunepé (AM)","1886","280","432","176","70","19","6","2","901","-"
"1301407005","Nossa Senhora de Fátima - Eirunepé (AM)","6583","1104","1471","595","302","73","20","9","3009","-"
"1301407006","São José - Eirunepé (AM)","1447","261","320","110","64","8","3","1","680","-"
"1301704001","São Domingos Sávio - Humaitá (AM)","2706","212","621","308","168","84","6","3","1304","-"
"1301704002","Nova Humaitá - Humaitá (AM)","3884","376","801","425","265","89","29","4","1895","-"
"1301704003","São Pedro - Humaitá (AM)","1447","53","290","215","149","46","15","6","673","-"
"1301704004","São Sebastião - Humaitá (AM)","1088","143","247","86","43","21","2","1","545","-"
"1301704005","São Francisco - Humaitá (AM)","2892","247","811","300","151","19","2","3","1359","-"
"1301704006","Santo Antônio - Humaitá (AM)","1961","99","439","213","97","10","1","2","1100","-"
"1301704007","Novo Centenário - Humaitá (AM)","961","75","261","104","66","15","5","2","433","-"
"1301704008","São José - Humaitá (AM)","855","56","181","90","69","32","6","1","420","-"
"1301704009","Centro - Humaitá (AM)","1687","60","413","235","175","78","17","12","697","-"
"1301704010","São Cristóvão - Humaitá (AM)","3199","315","775","420","208","59","16","5","1401","-"
"1301704011","Nossa Senhora do Carmo - Humaitá (AM)","1987","106","552","130","51","2","-","-","1146","-"
"1301704012","Divino Pranto - Humaitá (AM)","1228","74","350","122","71","21","4","-","586","-"
