"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"1100205036","Costa e Silva - Porto Velho (RO)","Total","Total","1554","173","306","328","358","201","83","41","29","16","8","6","3","1","1"
"1100205037","São Sebastião - Porto Velho (RO)","Total","Total","1504","118","205","361","323","213","131","62","44","24","9","3","5","1","5"
"1100205038","Nacional - Porto Velho (RO)","Total","Total","1984","170","289","437","431","302","144","101","49","25","16","6","7","5","2"
"1100205039","Lagoa - Porto Velho (RO)","Total","Total","1079","109","171","260","255","162","61","31","14","8","2","2","-","2","2"
"1100205040","Agenor M. de Carvalho - Porto Velho (RO)","Total","Total","3660","548","762","857","773","370","191","75","29","27","12","6","5","-","5"
"1100205041","Rio Madeira - Porto Velho (RO)","Total","Total","1189","130","279","307","282","112","52","17","4","2","4","-","-","-","-"
"1100205042","Eldorado - Porto Velho (RO)","Total","Total","920","97","159","221","182","141","57","30","21","9","2","-","-","1","-"
"1100205043","Aeroclube - Porto Velho (RO)","Total","Total","676","47","141","176","158","97","39","10","1","4","-","2","-","-","1"
"1100205044","Cohab - Porto Velho (RO)","Total","Total","3616","300","626","829","926","491","219","114","59","27","9","6","6","1","3"
"1100205045","Castanheira - Porto Velho (RO)","Total","Total","3702","299","598","862","874","563","247","122","64","33","21","8","5","2","4"
"1100205046","Caladinho - Porto Velho (RO)","Total","Total","2703","234","503","622","585","386","178","75","52","33","22","3","4","3","3"
"1100205047","Nova Floresta - Porto Velho (RO)","Total","Total","2918","275","542","744","657","357","176","83","44","20","9","5","2","2","2"
"1100205049","Cidade do Lobo - Porto Velho (RO)","Total","Total","1179","91","200","277","260","188","91","34","22","7","4","3","1","-","1"
"1100205050","Eletronorte - Porto Velho (RO)","Total","Total","1977","197","347","442","437","294","144","60","25","12","10","2","4","1","2"
"1100205051","Novo Horizonte - Porto Velho (RO)","Total","Total","1068","98","259","273","202","119","61","28","16","5","4","2","-","1","-"
"1100205052","Areia Branca - Porto Velho (RO)","Total","Total","431","47","56","91","81","70","37","22","12","7","3","3","2","-","-"
"1100205053","Cascalheira - Porto Velho (RO)","Total","Total","682","77","127","152","139","112","40","24","3","2","2","1","2","1","-"
"1100205054","Escola de Polícia - Porto Velho (RO)","Total","Total","1127","104","175","243","260","182","72","48","24","6","5","3","-","2","3"
"1100205055","Teixeirão - Porto Velho (RO)","Total","Total","1819","142","278","351","383","310","161","91","57","24","10","8","1","1","2"
