"Tabela 616 - Pessoas de 10 anos ou mais de idade por grupos de idade, condição de atividade na semana de referência, sexo e situação do domicílio"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Situação do domicílio","Grupo de idade","Ano x Condição de atividade x Sexo"
"Cód.","Município","Situação do domicílio","Grupo de idade","2010"
"Cód.","Município","Situação do domicílio","Grupo de idade","Economicamente ativa"
"Cód.","Município","Situação do domicílio","Grupo de idade","Total"
"1504802","Monte Alegre (PA)","Total","Total","21426"
"1504901","Muaná (PA)","Total","Total","12594"
"1504950","Nova Esperança do Piriá (PA)","Total","Total","6974"
"1504976","Nova Ipixuna (PA)","Total","Total","6136"
"1505007","Nova Timboteua (PA)","Total","Total","5493"
"1505031","Novo Progresso (PA)","Total","Total","13227"
"1505064","Novo Repartimento (PA)","Total","Total","23418"
"1505106","Óbidos (PA)","Total","Total","19666"
"1505205","Oeiras do Pará (PA)","Total","Total","10713"
"1505304","Oriximiná (PA)","Total","Total","24434"
"1505403","Ourém (PA)","Total","Total","5720"
"1505437","Ourilândia do Norte (PA)","Total","Total","11585"
"1505486","Pacajá (PA)","Total","Total","13971"
"1505494","Palestina do Pará (PA)","Total","Total","2658"
"1505502","Paragominas (PA)","Total","Total","42416"
"1505536","Parauapebas (PA)","Total","Total","71569"
"1505551","Pau D'Arco (PA)","Total","Total","2143"
"1505601","Peixe-Boi (PA)","Total","Total","2723"
"1505635","Piçarra (PA)","Total","Total","4938"
"1505650","Placas (PA)","Total","Total","9669"
"1505700","Ponta de Pedras (PA)","Total","Total","9353"
"1505809","Portel (PA)","Total","Total","17290"
"1505908","Porto de Moz (PA)","Total","Total","13173"
"1506005","Prainha (PA)","Total","Total","10497"
"1506104","Primavera (PA)","Total","Total","4377"
"1506112","Quatipuru (PA)","Total","Total","4852"
"1506138","Redenção (PA)","Total","Total","35471"
"1506161","Rio Maria (PA)","Total","Total","8181"
"1506187","Rondon do Pará (PA)","Total","Total","19681"
"1506195","Rurópolis (PA)","Total","Total","15170"
"1506203","Salinópolis (PA)","Total","Total","17475"
"1506302","Salvaterra (PA)","Total","Total","7588"
"1506351","Santa Bárbara do Pará (PA)","Total","Total","6584"
"1506401","Santa Cruz do Arari (PA)","Total","Total","2745"
"1506500","Santa Izabel do Pará (PA)","Total","Total","24850"
"1506559","Santa Luzia do Pará (PA)","Total","Total","6367"
"1506583","Santa Maria das Barreiras (PA)","Total","Total","5988"
"1506609","Santa Maria do Pará (PA)","Total","Total","9951"
"1506708","Santana do Araguaia (PA)","Total","Total","25051"
"1506807","Santarém (PA)","Total","Total","125665"
"1506906","Santarém Novo (PA)","Total","Total","1760"
"1507003","Santo Antônio do Tauá (PA)","Total","Total","11031"
"1507102","São Caetano de Odivelas (PA)","Total","Total","6651"
"1507151","São Domingos do Araguaia (PA)","Total","Total","9498"
"1507201","São Domingos do Capim (PA)","Total","Total","11927"
"1507300","São Félix do Xingu (PA)","Total","Total","35487"
"1507409","São Francisco do Pará (PA)","Total","Total","5620"
"1507458","São Geraldo do Araguaia (PA)","Total","Total","10469"
"1507466","São João da Ponta (PA)","Total","Total","2101"
"1507474","São João de Pirabas (PA)","Total","Total","6901"
"1507508","São João do Araguaia (PA)","Total","Total","4677"
"1507607","São Miguel do Guamá (PA)","Total","Total","21306"
"1507706","São Sebastião da Boa Vista (PA)","Total","Total","7903"
"1507755","Sapucaia (PA)","Total","Total","2369"
"1507805","Senador José Porfírio (PA)","Total","Total","5093"
"1507904","Soure (PA)","Total","Total","8729"
"1507953","Tailândia (PA)","Total","Total","28575"
"1507961","Terra Alta (PA)","Total","Total","3685"
"1507979","Terra Santa (PA)","Total","Total","6732"
"1508001","Tomé-Açu (PA)","Total","Total","23718"
"1508035","Tracuateua (PA)","Total","Total","11009"
"1508050","Trairão (PA)","Total","Total","7127"
"1508084","Tucumã (PA)","Total","Total","17926"
"1508100","Tucuruí (PA)","Total","Total","41690"
"1508126","Ulianópolis (PA)","Total","Total","15435"
"1508159","Uruará (PA)","Total","Total","18878"
"1508209","Vigia (PA)","Total","Total","19315"
"1508308","Viseu (PA)","Total","Total","15896"
"1508357","Vitória do Xingu (PA)","Total","Total","5690"
"1508407","Xinguara (PA)","Total","Total","18419"
"1600055","Serra do Navio (AP)","Total","Total","1760"
"1600105","Amapá (AP)","Total","Total","3220"
"1600154","Pedra Branca do Amapari (AP)","Total","Total","4916"
"1600204","Calçoene (AP)","Total","Total","3873"
"1600212","Cutias (AP)","Total","Total","1693"
"1600238","Ferreira Gomes (AP)","Total","Total","2469"
"1600253","Itaubal (AP)","Total","Total","1538"
"1600279","Laranjal do Jari (AP)","Total","Total","16494"
"1600303","Macapá (AP)","Total","Total","185421"
"1600402","Mazagão (AP)","Total","Total","6185"
