"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"5002704066","Tiradentes - Campo Grande (MS)","Total","Total","7035","1060","1650","1755","1471","681","234","103","41","20","15","3","-","2","-"
"5002704067","Maria Aparecida Pedrossian - Campo Grande (MS)","Total","Total","3054","412","812","755","631","283","99","36","13","9","3","1","-","-","-"
"5002704069","Noroeste - Campo Grande (MS)","Total","Total","3160","458","723","689","616","380","165","66","35","18","3","4","2","1","-"
"5002704070","América - Campo Grande (MS)","Total","Total","531","101","133","124","105","45","17","5","1","-","-","-","-","-","-"
"5002704072","Chácara dos Poderes - Campo Grande (MS)","Total","Total","305","55","74","54","71","30","13","4","2","1","-","-","1","-","-"
"5002704073","Autonomista - Campo Grande (MS)","Total","Total","2409","220","582","672","609","245","59","13","8","1","-","-","-","-","-"
"5002704074","Estrela Dalva - Campo Grande (MS)","Total","Total","2049","197","423","523","506","221","112","37","15","5","5","3","2","-","-"
"5002704075","Centenário - Campo Grande (MS)","Total","Total","5277","591","1290","1409","1134","542","198","63","21","16","3","2","3","3","2"
"5002704076","Parati - Campo Grande (MS)","Total","Total","1716","188","403","503","415","142","37","18","5","2","3","-","-","-","-"
"5002704077","Lageado - Campo Grande (MS)","Total","Total","4101","456","829","932","902","567","221","108","43","28","6","6","-","2","1"
"5002704078","São Lourenço - Campo Grande (MS)","Total","Total","953","179","262","249","185","58","15","3","2","-","-","-","-","-","-"
"5002704079","Caiobá - Campo Grande (MS)","Total","Total","2255","245","449","513","514","283","131","68","30","13","5","3","1","-","-"
"5002704080","Tarumã - Campo Grande (MS)","Total","Total","2080","232","496","540","425","245","73","37","19","8","4","-","1","-","-"
"5003207001","Arthur Marinho - Corumbá (MS)","Total","Total","411","46","91","83","75","58","25","11","7","7","2","2","2","-","2"
"5003207002","Generoso - Corumbá (MS)","Total","Total","567","48","91","115","115","89","51","19","18","9","5","-","1","-","6"
"5003207003","Cervejaria - Corumbá (MS)","Total","Total","605","56","89","135","98","81","59","34","24","11","9","6","1","2","-"
"5003207004","Beira-Rio - Corumbá (MS)","Total","Total","98","11","12","15","22","19","9","4","3","1","2","-","-","-","-"
"5003207005","Centro - Corumbá (MS)","Total","Total","5584","783","1307","1294","1113","595","230","131","50","37","16","6","9","4","9"
"5003207006","Universitário - Corumbá (MS)","Total","Total","1171","133","226","293","240","130","52","51","22","14","5","4","-","-","1"
"5003207007","Maria Leite - Corumbá (MS)","Total","Total","1046","92","184","226","231","140","76","47","19","19","7","2","-","-","3"
"5003207008","Centro-América - Corumbá (MS)","Total","Total","1116","66","197","257","240","160","79","48","27","19","11","7","2","3","-"
"5003207009","Nossa Senhora de Fátima - Corumbá (MS)","Total","Total","807","88","143","189","157","113","64","23","11","6","7","5","1","-","-"
"5003207010","Popular Velha - Corumbá (MS)","Total","Total","1754","172","301","379","314","225","158","79","53","29","23","11","2","5","3"
"5003207011","Aeroporto - Corumbá (MS)","Total","Total","1352","89","209","295","315","168","126","67","42","23","5","5","7","-","1"
"5003207012","Popular Nova - Corumbá (MS)","Total","Total","904","85","165","189","188","132","68","39","20","10","4","2","1","1","-"
"5003207013","Cristo Redentor - Corumbá (MS)","Total","Total","2456","201","374","540","523","326","196","130","80","36","26","11","6","2","5"
"5003207014","Previsul - Corumbá (MS)","Total","Total","282","22","51","77","56","40","18","6","8","4","-","-","-","-","-"
"5003207015","Industrial - Corumbá (MS)","Total","Total","60","4","9","18","11","8","3","1","3","3","-","-","-","-","-"
"5003207016","Jardim dos Estados - Corumbá (MS)","Total","Total","1197","108","183","261","260","174","96","37","41","10","13","5","2","4","3"
"5003207017","Guarani - Corumbá (MS)","Total","Total","559","47","87","119","113","92","49","19","11","7","5","6","1","1","2"
"5003207018","Nova Corumbá - Corumbá (MS)","Total","Total","2136","190","394","496","430","301","173","67","41","25","5","4","7","3","-"
"5003207019","Guatós - Corumbá (MS)","Total","Total","753","71","108","155","138","107","74","54","19","10","9","6","-","2","-"
"5003207020","Dom Bosco - Corumbá (MS)","Total","Total","1121","89","209","284","246","115","82","44","21","14","5","2","4","2","4"
"5003207021","Borrowsky - Corumbá (MS)","Total","Total","420","57","83","75","71","48","38","24","9","7","2","3","2","-","1"
"5003751001","Centro - Eldorado (MS)","Total","Total","315","36","84","94","73","20","4","4","-","-","-","-","-","-","-"
"5003751002","Jardim das Grevílias - Eldorado (MS)","Total","Total","169","26","42","52","28","18","2","-","1","-","-","-","-","-","-"
"5003751003","Rui Barbosa - Eldorado (MS)","Total","Total","210","31","56","55","42","15","6","3","2","-","-","-","-","-","-"
"5003751004","Jardim dos Ipês - Eldorado (MS)","Total","Total","425","58","102","99","102","46","11","4","2","-","1","-","-","-","-"
"5003751005","Jardim das Palmeiras - Eldorado (MS)","Total","Total","183","23","47","41","49","15","6","2","-","-","-","-","-","-","-"
"5003751006","Cerâmica - Eldorado (MS)","Total","Total","200","36","43","42","44","20","6","6","2","1","-","-","-","-","-"
"5003751007","Spartaco Astolfi - Eldorado (MS)","Total","Total","382","53","109","97","74","33","9","4","1","2","-","-","-","-","-"
