"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"4100707","Alto Piquiri (PR)","Total","18 ou 19 anos","388","4","16","115","71","1","1","-","-","-","-","-","180","-"
"4100707","Alto Piquiri (PR)","Total","20 a 24 anos","834","11","13","240","249","37","3","7","-","-","-","-","274","-"
"4100707","Alto Piquiri (PR)","Total","25 a 29 anos","798","11","37","211","262","39","21","7","2","1","3","-","204","-"
"4100707","Alto Piquiri (PR)","Total","30 a 34 anos","711","9","29","202","239","34","25","9","1","-","-","-","163","-"
"4100707","Alto Piquiri (PR)","Total","35 a 39 anos","712","13","22","228","192","48","32","12","3","-","-","-","162","-"
"4100707","Alto Piquiri (PR)","Total","40 a 44 anos","756","12","27","223","196","48","32","21","2","1","1","2","191","-"
"4100707","Alto Piquiri (PR)","Total","45 a 49 anos","681","13","29","199","184","46","27","21","5","2","-","-","155","-"
"4100707","Alto Piquiri (PR)","Total","50 a 54 anos","565","18","16","194","92","23","31","23","5","3","1","-","159","-"
"4100707","Alto Piquiri (PR)","Total","55 a 59 anos","450","3","17","202","81","25","17","16","2","1","2","1","83","-"
"4100707","Alto Piquiri (PR)","Total","60 a 69 anos","773","1","9","506","124","29","26","12","-","-","1","2","63","-"
"4100707","Alto Piquiri (PR)","Total","70 anos ou mais","694","1","2","508","109","25","10","6","3","-","-","2","28","-"
"4100806","Alvorada do Sul (PR)","Total","10 a 14 anos","809","36","11","14","6","-","-","-","-","-","-","-","742","-"
"4100806","Alvorada do Sul (PR)","Total","15 a 19 anos","910","23","39","143","82","3","1","-","-","-","-","-","619","-"
"4100806","Alvorada do Sul (PR)","Total","15 a 17 anos","563","19","33","57","21","-","1","-","-","-","-","-","432","-"
"4100806","Alvorada do Sul (PR)","Total","18 ou 19 anos","347","4","6","86","61","3","-","-","-","-","-","-","187","-"
"4100806","Alvorada do Sul (PR)","Total","20 a 24 anos","877","14","26","240","245","33","13","2","-","-","-","-","304","-"
"4100806","Alvorada do Sul (PR)","Total","25 a 29 anos","789","15","25","189","234","76","27","6","-","1","-","-","216","-"
"4100806","Alvorada do Sul (PR)","Total","30 a 34 anos","690","11","25","170","224","54","19","14","1","2","-","-","170","-"
"4100806","Alvorada do Sul (PR)","Total","35 a 39 anos","698","17","26","175","228","42","41","12","1","3","-","-","153","-"
"4100806","Alvorada do Sul (PR)","Total","40 a 44 anos","732","13","25","184","222","55","36","29","1","3","1","1","162","-"
"4100806","Alvorada do Sul (PR)","Total","45 a 49 anos","726","11","20","171","194","58","47","36","3","3","4","4","175","-"
"4100806","Alvorada do Sul (PR)","Total","50 a 54 anos","654","5","18","150","176","57","32","36","5","-","1","1","173","-"
"4100806","Alvorada do Sul (PR)","Total","55 a 59 anos","581","3","13","185","143","45","37","27","2","1","1","1","123","-"
"4100806","Alvorada do Sul (PR)","Total","60 a 69 anos","792","2","10","368","156","64","43","27","2","2","1","2","115","-"
"4100806","Alvorada do Sul (PR)","Total","70 anos ou mais","634","2","2","435","112","21","14","10","1","1","2","1","33","-"
"4100905","Amaporã (PR)","Total","10 a 14 anos","528","23","10","10","2","-","1","-","-","-","-","-","482","-"
"4100905","Amaporã (PR)","Total","15 a 19 anos","547","34","32","103","66","4","-","-","-","-","-","-","308","-"
"4100905","Amaporã (PR)","Total","15 a 17 anos","343","27","22","46","21","-","-","-","-","-","-","-","227","-"
"4100905","Amaporã (PR)","Total","18 ou 19 anos","204","7","10","57","45","4","-","-","-","-","-","-","81","-"
"4100905","Amaporã (PR)","Total","20 a 24 anos","525","14","31","147","161","21","5","-","-","-","-","-","146","-"
"4100905","Amaporã (PR)","Total","25 a 29 anos","403","11","24","88","145","23","12","5","2","-","-","-","93","-"
"4100905","Amaporã (PR)","Total","30 a 34 anos","404","22","21","103","133","20","14","7","1","-","-","-","83","-"
"4100905","Amaporã (PR)","Total","35 a 39 anos","374","11","17","86","142","36","12","3","-","-","-","-","67","-"
"4100905","Amaporã (PR)","Total","40 a 44 anos","404","20","14","83","129","21","16","9","-","1","-","-","111","-"
"4100905","Amaporã (PR)","Total","45 a 49 anos","366","8","14","88","108","30","20","4","2","-","-","-","92","-"
"4100905","Amaporã (PR)","Total","50 a 54 anos","287","11","18","82","66","12","6","12","-","-","1","-","79","-"
"4100905","Amaporã (PR)","Total","55 a 59 anos","227","3","10","85","58","10","7","7","1","1","-","-","45","-"
"4100905","Amaporã (PR)","Total","60 a 69 anos","227","1","1","120","44","7","3","11","-","-","-","-","40","-"
"4100905","Amaporã (PR)","Total","70 anos ou mais","265","-","-","138","72","10","8","7","-","-","1","-","29","-"
"4101002","Ampére (PR)","Total","10 a 14 anos","1651","108","23","34","5","-","-","-","-","-","-","-","1481","-"
"4101002","Ampére (PR)","Total","15 a 19 anos","1657","46","73","475","269","7","3","1","-","-","-","-","783","-"
"4101002","Ampére (PR)","Total","15 a 17 anos","1007","39","56","235","74","1","-","1","-","-","-","-","601","-"
"4101002","Ampére (PR)","Total","18 ou 19 anos","650","7","17","240","195","6","3","-","-","-","-","-","182","-"
"4101002","Ampére (PR)","Total","20 a 24 anos","1516","11","21","447","663","75","23","4","1","-","-","-","271","-"
"4101002","Ampére (PR)","Total","25 a 29 anos","1358","10","31","337","572","111","49","26","4","2","-","1","215","-"
"4101002","Ampére (PR)","Total","30 a 34 anos","1250","13","35","304","474","109","68","32","6","3","-","1","205","-"
"4101002","Ampére (PR)","Total","35 a 39 anos","1229","16","24","366","406","106","72","29","2","2","2","1","203","-"
"4101002","Ampére (PR)","Total","40 a 44 anos","1218","24","52","362","349","86","70","42","3","4","1","-","225","-"
"4101002","Ampére (PR)","Total","45 a 49 anos","1192","23","48","404","304","67","55","51","7","1","1","-","231","-"
"4101002","Ampére (PR)","Total","50 a 54 anos","962","13","39","318","214","61","37","29","7","2","1","1","240","-"
"4101002","Ampére (PR)","Total","55 a 59 anos","763","8","30","320","156","41","35","20","2","4","-","2","145","-"
"4101002","Ampére (PR)","Total","60 a 69 anos","1135","4","14","697","226","37","28","27","3","1","1","1","96","-"
"4101002","Ampére (PR)","Total","70 anos ou mais","846","3","1","542","232","21","10","4","2","-","1","-","30","-"
"4101051","Anahy (PR)","Total","10 a 14 anos","268","53","6","5","2","-","-","-","-","-","-","-","202","-"
"4101051","Anahy (PR)","Total","15 a 19 anos","253","13","20","69","18","1","-","-","-","-","-","-","132","-"
"4101051","Anahy (PR)","Total","15 a 17 anos","156","11","15","29","2","-","-","-","-","-","-","-","99","-"
"4101051","Anahy (PR)","Total","18 ou 19 anos","97","2","5","40","16","1","-","-","-","-","-","-","33","-"
"4101051","Anahy (PR)","Total","20 a 24 anos","197","2","7","72","59","4","3","1","-","-","-","-","49","-"
"4101051","Anahy (PR)","Total","25 a 29 anos","194","3","7","74","59","10","4","2","-","-","-","-","35","-"
"4101051","Anahy (PR)","Total","30 a 34 anos","231","2","16","75","73","9","10","4","-","-","1","-","41","-"
"4101051","Anahy (PR)","Total","35 a 39 anos","182","5","13","66","59","7","5","-","1","-","-","-","26","-"
"4101051","Anahy (PR)","Total","40 a 44 anos","216","3","6","60","70","13","14","8","3","1","-","-","38","-"
"4101051","Anahy (PR)","Total","45 a 49 anos","172","6","4","64","37","7","9","7","1","-","-","-","37","-"
"4101051","Anahy (PR)","Total","50 a 54 anos","179","7","14","69","30","7","6","3","-","-","-","-","43","-"
"4101051","Anahy (PR)","Total","55 a 59 anos","156","1","12","73","29","11","2","3","1","1","-","-","23","-"
"4101051","Anahy (PR)","Total","60 a 69 anos","244","-","5","167","37","10","4","5","2","-","-","-","14","-"
"4101051","Anahy (PR)","Total","70 anos ou mais","201","-","1","139","52","2","2","-","-","-","-","-","5","-"
"4101101","Andirá (PR)","Total","10 a 14 anos","1597","91","30","20","4","-","-","-","-","-","-","-","1452","-"
"4101101","Andirá (PR)","Total","15 a 19 anos","1667","48","107","247","105","9","1","-","-","-","-","-","1150","-"
"4101101","Andirá (PR)","Total","15 a 17 anos","1030","40","67","86","23","1","1","-","-","-","-","-","812","-"
"4101101","Andirá (PR)","Total","18 ou 19 anos","637","8","40","161","82","8","-","-","-","-","-","-","338","-"
"4101101","Andirá (PR)","Total","20 a 24 anos","1611","13","56","459","467","42","17","3","-","1","-","-","553","-"
"4101101","Andirá (PR)","Total","25 a 29 anos","1594","16","27","419","529","119","46","16","-","1","-","-","421","-"
"4101101","Andirá (PR)","Total","30 a 34 anos","1585","16","39","363","541","150","80","36","3","-","1","1","355","-"
"4101101","Andirá (PR)","Total","35 a 39 anos","1515","10","38","360","509","126","77","33","4","5","3","1","349","-"
"4101101","Andirá (PR)","Total","40 a 44 anos","1539","16","29","412","446","164","91","51","3","3","-","3","321","-"
"4101101","Andirá (PR)","Total","45 a 49 anos","1458","14","42","402","413","94","99","60","10","3","-","2","319","-"
"4101101","Andirá (PR)","Total","50 a 54 anos","1193","7","24","327","300","87","67","53","9","2","1","-","316","-"
"4101101","Andirá (PR)","Total","55 a 59 anos","1170","8","12","384","264","76","54","45","8","3","4","1","311","-"
"4101101","Andirá (PR)","Total","60 a 69 anos","1713","4","10","838","325","104","75","51","4","4","3","-","295","-"
"4101101","Andirá (PR)","Total","70 anos ou mais","1294","-","1","813","232","37","36","19","4","4","-","1","147","-"
"4101150","Ângulo (PR)","Total","10 a 14 anos","235","11","2","2","-","1","-","-","-","-","-","-","219","-"
"4101150","Ângulo (PR)","Total","15 a 19 anos","245","6","12","38","35","2","-","2","-","-","-","-","150","-"
"4101150","Ângulo (PR)","Total","15 a 17 anos","152","6","10","12","9","-","-","-","-","-","-","-","115","-"
"4101150","Ângulo (PR)","Total","18 ou 19 anos","93","-","2","26","26","2","-","2","-","-","-","-","35","-"
"4101150","Ângulo (PR)","Total","20 a 24 anos","242","6","6","51","101","8","4","1","-","-","-","-","65","-"
"4101150","Ângulo (PR)","Total","25 a 29 anos","215","1","3","47","84","19","13","3","1","-","-","-","44","-"
"4101150","Ângulo (PR)","Total","30 a 34 anos","205","2","3","41","78","19","15","3","-","-","-","-","44","-"
"4101150","Ângulo (PR)","Total","35 a 39 anos","221","2","5","37","79","23","10","11","1","1","-","-","52","-"
"4101150","Ângulo (PR)","Total","40 a 44 anos","214","3","5","47","77","16","22","3","1","1","-","-","39","-"
"4101150","Ângulo (PR)","Total","45 a 49 anos","210","5","4","51","64","23","17","7","-","-","-","2","37","-"
"4101150","Ângulo (PR)","Total","50 a 54 anos","176","4","8","38","46","9","11","6","1","2","-","-","51","-"
"4101150","Ângulo (PR)","Total","55 a 59 anos","129","6","2","44","29","11","8","8","-","-","-","-","21","-"
"4101150","Ângulo (PR)","Total","60 a 69 anos","213","1","2","116","51","10","7","7","1","1","-","-","17","-"
"4101150","Ângulo (PR)","Total","70 anos ou mais","171","-","1","121","25","8","6","2","-","-","-","-","8","-"
"4101200","Antonina (PR)","Total","10 a 14 anos","1919","90","30","24","5","-","2","-","-","-","-","1","1767","-"
"4101200","Antonina (PR)","Total","15 a 19 anos","1697","55","47","124","73","2","2","-","-","-","1","1","1392","-"
"4101200","Antonina (PR)","Total","15 a 17 anos","1088","41","30","44","18","1","-","-","-","-","1","1","952","-"
"4101200","Antonina (PR)","Total","18 ou 19 anos","609","14","17","80","55","1","2","-","-","-","-","-","440","-"
"4101200","Antonina (PR)","Total","20 a 24 anos","1341","33","38","263","283","41","13","5","-","-","-","-","665","-"
"4101200","Antonina (PR)","Total","25 a 29 anos","1274","37","44","248","334","74","46","15","1","1","-","-","474","-"
"4101200","Antonina (PR)","Total","30 a 34 anos","1287","46","62","288","313","110","55","25","2","1","-","-","385","-"
"4101200","Antonina (PR)","Total","35 a 39 anos","1223","34","65","271","313","98","70","37","3","4","-","1","327","-"
"4101200","Antonina (PR)","Total","40 a 44 anos","1264","44","54","313","325","96","64","40","2","4","1","3","318","-"
"4101200","Antonina (PR)","Total","45 a 49 anos","1313","35","51","300","306","102","100","76","8","2","-","-","333","-"
"4101200","Antonina (PR)","Total","50 a 54 anos","1050","23","43","269","225","80","68","61","3","7","1","1","269","-"
"4101200","Antonina (PR)","Total","55 a 59 anos","936","16","26","229","181","59","76","70","5","3","1","2","268","-"
