"Tabela 3603 - Pessoas de 10 anos ou mais de idade, residentes em domicílios particulares, ocupadas na semana de referência, exclusive as pessoas cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou seu parente, por local de exercício do trabalho principal, segundo a situação do domicílio e as classes de rendimento nominal mensal domiciliar per capita"
"Variável - Pessoas de 10 anos ou mais de idade, residentes em domicílios particulares, ocupadas na semana de referência, cuja condição no domicílio não era pensionista, nem empregado(a) doméstico(a) ou seu parente (Pessoas)"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Ano x Local de exercício do trabalho principal x Situação do domicílio"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","2010"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Total","Município de residência","Município de residência - no domicílio de residência","Município de residência - fora do domicílio de residência","Outro município","País estrangeiro","Mais de um município ou país"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Total","Total","Total","Total","Total","Total","Total"
"1502806","Curralinho (PA)","Total","9329","9237","2774","6463","83","-","8"
"1502855","Curuá (PA)","Total","4354","4272","1131","3141","75","-","7"
"1502905","Curuçá (PA)","Total","10390","9846","2579","7267","524","-","20"
"1502939","Dom Eliseu (PA)","Total","19473","18392","4835","13557","909","11","161"
"1502954","Eldorado do Carajás (PA)","Total","11679","11114","4384","6729","470","-","95"
"1503002","Faro (PA)","Total","2543","2392","700","1692","147","-","4"
"1503044","Floresta do Araguaia (PA)","Total","6112","5933","2170","3763","141","-","38"
"1503077","Garrafão do Norte (PA)","Total","10453","10183","2934","7249","209","-","62"
"1503093","Goianésia do Pará (PA)","Total","10611","10221","1629","8592","289","-","101"
"1503101","Gurupá (PA)","Total","9739","9691","3262","6428","48","-","-"
"1503200","Igarapé-Açu (PA)","Total","12642","11809","4412","7397","821","-","13"
"1503309","Igarapé-Miri (PA)","Total","21280","20436","7128","13308","765","-","79"
"1503408","Inhangapi (PA)","Total","3394","2919","917","2002","468","-","6"
"1503457","Ipixuna do Pará (PA)","Total","13199","12809","4038","8771","353","-","37"
"1503507","Irituia (PA)","Total","13417","12658","2273","10385","749","-","10"
"1503606","Itaituba (PA)","Total","37364","36288","9688","26599","910","76","90"
"1503705","Itupiranga (PA)","Total","16351","15870","7631","8239","397","-","84"
"1503754","Jacareacanga (PA)","Total","3964","3964","1668","2295","-","-","-"
"1503804","Jacundá (PA)","Total","18381","17676","3441","14236","601","-","104"
"1503903","Juruti (PA)","Total","15594","15501","7136","8365","78","14","-"
"1504000","Limoeiro do Ajuru (PA)","Total","9838","9678","3992","5686","154","-","7"
"1504059","Mãe do Rio (PA)","Total","10068","8622","1717","6905","1262","6","177"
"1504109","Magalhães Barata (PA)","Total","2448","2317","673","1644","127","-","4"
"1504208","Marabá (PA)","Total","92774","89954","26042","63912","2117","11","691"
"1504307","Maracanã (PA)","Total","9619","9220","2710","6510","370","-","29"
"1504406","Marapanim (PA)","Total","10195","9689","1778","7911","484","-","22"
