Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (0 a 4 anos + 5 a 9 anos + 10 a 14 anos + 15 anos + 16 anos + 17 anos + 18 anos);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Bairro;
1302900003;Ramalho Júnior - Maués (AM);1914
1302900004;Maresia - Maués (AM);542
1302900005;Santa Luzia - Maués (AM);3468
1302900006;Santa Tereza - Maués (AM);256
1302900007;Do eden - Maués (AM);625
1302900008;Donga Michiles - Maués (AM);1847
1302900009;Novo Bairro - Maués (AM);90
1303106001;Vale do Sol - Nova Olinda do Norte (AM);878
1303106002;Santa Maria - Nova Olinda do Norte (AM);771
1303106003;Chicolândia - Nova Olinda do Norte (AM);1173
1303106004;Santa Luzia - Nova Olinda do Norte (AM);1166
1303106005;Nossa Senhora de Fátima - Nova Olinda do Norte (AM);884
1303106006;Aerolândia - Nova Olinda do Norte (AM);1060
1303106007;Centro - Nova Olinda do Norte (AM);532
1303304001;Centro - Novo Aripuanã (AM);897
1303304002;Dos Trabalhadores - Novo Aripuanã (AM);479
1303304003;Tv - Novo Aripuanã (AM);574
1303304004;Japiim - Novo Aripuanã (AM);1541
1303304005;Nossa Senhora da Conceição - Novo Aripuanã (AM);2946
1303403001;Centro - Parintins (AM);1842
1303403002;Francesa - Parintins (AM);1134
1303403003;Santa Clara - Parintins (AM);745
1303403004;Raimundo Muniz - Parintins (AM);323
1303403005;Santa Rita - Parintins (AM);913
1303403006;Palmares - Parintins (AM);2831
1303403007;Nossa Senhora de Nazaré - Parintins (AM);1350
1303403008;São Vicente de Paula - Parintins (AM);693
1303403009;Emílio Moreira - Parintins (AM);442
1303403010;Vitória Régia - Parintins (AM);642
1303403011;São Benedito - Parintins (AM);1476
1303403012;São José - Parintins (AM);1253
1303403013;João Novo - Parintins (AM);325
1303403014;Dejard Vieira - Parintins (AM);761
1303403015;Distrito Industrial - Parintins (AM);..
1303403016;Itaúna I - Parintins (AM);2610
1303403017;Jacareacanga - Parintins (AM);147
1303403018;Paulo Corrêa - Parintins (AM);7391
1303403019;Itaúna II - Parintins (AM);3965
1303403020;Castanheira - Parintins (AM);246
1303536001;Centro - Presidente Figueiredo (AM);647
1303536002;Honório Roldão - Presidente Figueiredo (AM);361
1303536003;Tancredo Neves - Presidente Figueiredo (AM);522
1303536004;Urubuí - Presidente Figueiredo (AM);77
1303536005;José Dutra - Presidente Figueiredo (AM);460
1303536006;Morada do Sol - Presidente Figueiredo (AM);452
1303536007;Sol Nascente - Presidente Figueiredo (AM);518
1303536008;Aida Mendonça - Presidente Figueiredo (AM);707
1303536009;Orquídeas - Presidente Figueiredo (AM);323
1303536010;Galo da Serra - Presidente Figueiredo (AM);720
1303536011;Maruaga - Presidente Figueiredo (AM);10
1303536012;Waimiri - Presidente Figueiredo (AM);329
1303536013;Atroari - Presidente Figueiredo (AM);549
1303700001;Centro - Santo Antônio do Içá (AM);627
1303700002;Franco - Santo Antônio do Içá (AM);163
1303700003;Independência - Santo Antônio do Içá (AM);657
1303700004;Presidente Vargas - Santo Antônio do Içá (AM);341
1303700005;Pataquira - Santo Antônio do Içá (AM);91
1303700006;Taboca - Santo Antônio do Içá (AM);512
1303700007;São Francisco - Santo Antônio do Içá (AM);571
1303700008;Alvaro Maia - Santo Antônio do Içá (AM);593
1303700009;Planalto - Santo Antônio do Içá (AM);433
1303700010;Santa Etelvina - Santo Antônio do Içá (AM);1105
1303700011;Campina - Santo Antônio do Içá (AM);1144
1303700012;Tarauacá - Santo Antônio do Içá (AM);378
1303908001;Centro - São Paulo de Olivença (AM);208
1303908002;Santa Terezinha - São Paulo de Olivença (AM);1750
1303908003;Benjamin Constant - São Paulo de Olivença (AM);128
1303908004;de Campinas - São Paulo de Olivença (AM);1094
1303908005;Nosso Senhor do Bonfin - São Paulo de Olivença (AM);825
1303908006;São João - São Paulo de Olivença (AM);612
1303908007;Colônia São Sebastião - São Paulo de Olivença (AM);746
1303908008;José Carlos Mestrinho - São Paulo de Olivença (AM);886
1303908009;União - São Paulo de Olivença (AM);172
1304005001;Centro - Silves (AM);307
1304005002;Macajatuba - Silves (AM);790
1304005003;Castanheira - Silves (AM);48
1304005004;Panorama - Silves (AM);279
1304005005;Governador Plinio Coelho - Silves (AM);272
1304005006;Vila Costa - Silves (AM);181
1304401001;Centro - Urucurituba (AM);608
1304401002;Aparecida - Urucurituba (AM);1104
1304401003;Livramento - Urucurituba (AM);616
1304401004;Pedreiras - Urucurituba (AM);304
1304401005;Liberdade - Urucurituba (AM);648
1304401006;São Lázaro - Urucurituba (AM);1206
1304401007;Tabocal - Urucurituba (AM);45
1400100001;Centro - Boa Vista (RR);1461
1400100002;Calunga - Boa Vista (RR);796
1400100003;São Vicente - Boa Vista (RR);1909
1400100004;Mecejana - Boa Vista (RR);1735
1400100005;São Francisco - Boa Vista (RR);1056
1400100006;Trinta e um de Março - Boa Vista (RR);460
1400100007;Aparecida - Boa Vista (RR);1346
1400100008;Canarinho - Boa Vista (RR);220
1400100009;São Pedro - Boa Vista (RR);259
1400100010;Treze de Setembro - Boa Vista (RR);1606
1400100011;Pricumã - Boa Vista (RR);2069
1400100012;Liberdade - Boa Vista (RR);1992
1400100013;Jardim Floresta - Boa Vista (RR);1485
1400100014;Aeroporto - Boa Vista (RR);1276
1400100015;Dos Estados - Boa Vista (RR);1417
1400100016;Paraviana - Boa Vista (RR);1743
1400100017;Caçari - Boa Vista (RR);868
1400100018;Buritis - Boa Vista (RR);3139
1400100019;Marechal Rondon - Boa Vista (RR);...
1400100020;Asa Branca - Boa Vista (RR);1922
1400100021;Cambará - Boa Vista (RR);3433
1400100022;Tancredo Neves - Boa Vista (RR);2537
1400100023;Caimbé - Boa Vista (RR);2629
1400100024;Caranã - Boa Vista (RR);3853
1400100025;Centenário - Boa Vista (RR);2234
1400100026;Governador Aquilino Mota Duarte - Boa Vista (RR);243
1400100027;Operário - Boa Vista (RR);1160
1400100028;Jardim Tropical - Boa Vista (RR);915
1400100029;Nova Canaã - Boa Vista (RR);2388
1400100030;Jardim Equatorial - Boa Vista (RR);2508
1400100031;Cauamé - Boa Vista (RR);3063
1400100032;Alvorada - Boa Vista (RR);3404
1400100033;Professora Araceli Souto Maior - Boa Vista (RR);1957
1400100034;Bela Vista - Boa Vista (RR);1365
1400100035;Cinturão Verde - Boa Vista (RR);2217
1400100036;Dr. Silvio Leite - Boa Vista (RR);3675
1400100037;Jardim Primavera - Boa Vista (RR);2469
1400100038;Jóquei Clube - Boa Vista (RR);2489
1400100039;Nova Cidade - Boa Vista (RR);2564
1400100040;Pintolândia - Boa Vista (RR);4635
