Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (0 a 4 anos + 5 a 9 anos + 10 a 14 anos + 15 anos + 16 anos + 17 anos + 18 anos);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Município;
1507755;Sapucaia (PA);1932
1507805;Senador José Porfírio (PA);5998
1507904;Soure (PA);9192
1507953;Tailândia (PA);34264
1507961;Terra Alta (PA);4283
1507979;Terra Santa (PA);7380
1508001;Tomé-Açu (PA);24893
1508035;Tracuateua (PA);12050
1508050;Trairão (PA);6855
1508084;Tucumã (PA);12950
1508100;Tucuruí (PA);39662
1508126;Ulianópolis (PA);17971
1508159;Uruará (PA);18488
1508209;Vigia (PA);18408
1508308;Viseu (PA);27343
1508357;Vitória do Xingu (PA);5247
1508407;Xinguara (PA);15377
1600055;Serra do Navio (AP);1950
1600105;Amapá (AP);3675
1600154;Pedra Branca do Amapari (AP);4900
1600204;Calçoene (AP);4082
1600212;Cutias (AP);2363
1600238;Ferreira Gomes (AP);2747
1600253;Itaubal (AP);2114
1600279;Laranjal do Jari (AP);17947
1600303;Macapá (AP);158995
1600402;Mazagão (AP);8752
1600501;Oiapoque (AP);9311
1600535;Porto Grande (AP);7667
1600550;Pracuúba (AP);1947
1600600;Santana (AP);42981
1600709;Tartarugalzinho (AP);6326
1600808;Vitória do Jari (AP);5963
1700251;Abreulândia (TO);906
1700301;Aguiarnópolis (TO);2141
1700350;Aliança do Tocantins (TO);1985
1700400;Almas (TO);3172
1700707;Alvorada (TO);2827
1701002;Ananás (TO);3961
1701051;Angico (TO);1206
1701101;Aparecida do Rio Negro (TO);1611
1701309;Aragominas (TO);2199
1701903;Araguacema (TO);2497
1702000;Araguaçu (TO);2738
1702109;Araguaína (TO);52762
1702158;Araguanã (TO);2109
1702208;Araguatins (TO);13106
1702307;Arapoema (TO);2592
1702406;Arraias (TO);4049
1702554;Augustinópolis (TO);6333
1702703;Aurora do Tocantins (TO);1160
1702901;Axixá do Tocantins (TO);3835
1703008;Babaçulândia (TO);3607
1703057;Bandeirantes do Tocantins (TO);1178
1703073;Barra do Ouro (TO);1823
1703107;Barrolândia (TO);1837
1703206;Bernardo Sayão (TO);1641
1703305;Bom Jesus do Tocantins (TO);1539
1703602;Brasilândia do Tocantins (TO);780
1703701;Brejinho de Nazaré (TO);1931
1703800;Buriti do Tocantins (TO);3908
1703826;Cachoeirinha (TO);927
1703842;Campos Lindos (TO);3929
1703867;Cariri do Tocantins (TO);1198
1703883;Carmolândia (TO);934
1703891;Carrasco Bonito (TO);1657
1703909;Caseara (TO);1782
1704105;Centenário (TO);970
1704600;Chapada de Areia (TO);444
1705102;Chapada da Natividade (TO);1275
1705508;Colinas do Tocantins (TO);11003
1705557;Combinado (TO);1676
1705607;Conceição do Tocantins (TO);1831
1706001;Couto Magalhães (TO);1934
1706100;Cristalândia (TO);2498
1706258;Crixás do Tocantins (TO);550
1706506;Darcinópolis (TO);2069
1707009;Dianópolis (TO);7736
1707108;Divinópolis do Tocantins (TO);2231
1707207;Dois Irmãos do Tocantins (TO);2371
1707306;Dueré (TO);1581
1707405;Esperantina (TO);4178
1707553;Fátima (TO);1376
1707652;Figueirópolis (TO);1679
1707702;Filadélfia (TO);3393
1708205;Formoso do Araguaia (TO);6836
1708254;Tabocão (TO);905
1708304;Goianorte (TO);1827
1709005;Goiatins (TO);5338
1709302;Guaraí (TO);7949
1709500;Gurupi (TO);25037
1709807;Ipueiras (TO);626
1710508;Itacajá (TO);2890
1710706;Itaguatins (TO);2448
1710904;Itapiratins (TO);1304
1711100;Itaporã do Tocantins (TO);879
1711506;Jaú do Tocantins (TO);1187
1711803;Juarina (TO);852
1711902;Lagoa da Confusão (TO);4104
1711951;Lagoa do Tocantins (TO);1659
1712009;Lajeado (TO);1075
1712157;Lavandeira (TO);595
1712405;Lizarda (TO);1604
1712454;Luzinópolis (TO);1027
1712504;Marianópolis do Tocantins (TO);1625
1712702;Mateiros (TO);1026
1712801;Maurilândia do Tocantins (TO);1320
1713205;Miracema do Tocantins (TO);7769
1713304;Miranorte (TO);4339
1713601;Monte do Carmo (TO);2629
1713700;Monte Santo do Tocantins (TO);700
1713809;Palmeiras do Tocantins (TO);2310
1713957;Muricilândia (TO);1289
1714203;Natividade (TO);3365
1714302;Nazaré (TO);1610
1714880;Nova Olinda (TO);4089
1715002;Nova Rosalândia (TO);1344
1715101;Novo Acordo (TO);1559
1715150;Novo Alegre (TO);782
1715259;Novo Jardim (TO);1076
1715507;Oliveira de Fátima (TO);393
1715705;Palmeirante (TO);2047
1715754;Palmeirópolis (TO);2433
1716109;Paraíso do Tocantins (TO);14951
1716208;Paranã (TO);4131
1716307;Pau D'Arco (TO);1778
1716505;Pedro Afonso (TO);4068
1716604;Peixe (TO);3670
1716653;Pequizeiro (TO);1887
1716703;Colméia (TO);2878
1717008;Pindorama do Tocantins (TO);1727
1717206;Piraquê (TO);1055
1717503;Pium (TO);2460
1717800;Ponte Alta do Bom Jesus (TO);1708
1717909;Ponte Alta do Tocantins (TO);2815
1718006;Porto Alegre do Tocantins (TO);1158
1718204;Porto Nacional (TO);17848
1718303;Praia Norte (TO);3502
1718402;Presidente Kennedy (TO);1379
1718451;Pugmil (TO);946
1718501;Recursolândia (TO);1709
1718550;Riachinho (TO);1693
1718659;Rio da Conceição (TO);757
1718709;Rio dos Bois (TO);934
1718758;Rio Sono (TO);2454
1718808;Sampaio (TO);1780
1718840;Sandolândia (TO);1096
1718865;Santa Fé do Araguaia (TO);2756
1718881;Santa Maria do Tocantins (TO);1115
1718899;Santa Rita do Tocantins (TO);774
1718907;Santa Rosa do Tocantins (TO);1896
1719004;Santa Tereza do Tocantins (TO);1013
1720002;Santa Terezinha do Tocantins (TO);990
1720101;São Bento do Tocantins (TO);1978
1720150;São Félix do Tocantins (TO);664
1720200;São Miguel do Tocantins (TO);4423
1720259;São Salvador do Tocantins (TO);1182
