"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","18 ou 19 anos","23","-","2","6","3","-","-","-","-","-","-","-","12","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","20 a 24 anos","36","1","3","14","7","-","1","-","-","-","-","-","10","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","25 a 29 anos","37","1","4","11","7","2","1","-","-","-","-","-","11","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","30 a 34 anos","35","1","3","12","11","1","1","-","-","-","-","-","6","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","35 a 39 anos","33","2","4","8","5","3","3","2","-","-","-","-","6","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","40 a 44 anos","20","-","1","7","2","1","1","-","-","-","-","-","8","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","45 a 49 anos","23","1","3","5","2","-","2","-","-","-","-","-","10","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","50 a 54 anos","18","1","2","6","3","-","-","-","-","-","-","-","6","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","55 a 59 anos","13","1","-","3","5","-","-","1","-","-","-","1","2","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","60 a 69 anos","22","2","-","16","2","-","-","-","-","-","1","-","1","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","70 anos ou mais","20","-","-","18","1","-","-","1","-","-","-","-","-","-"
"1100049001","Centro - Cacoal (RO)","Total","10 a 14 anos","224","4","5","3","-","1","-","-","-","-","-","-","211","-"
"1100049001","Centro - Cacoal (RO)","Total","15 a 19 anos","311","-","10","42","22","-","2","1","-","-","-","-","234","-"
"1100049001","Centro - Cacoal (RO)","Total","15 a 17 anos","184","-","9","14","3","-","-","-","-","-","-","-","158","-"
