"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"4105508005","Zona 5 (Armazens) - Cianorte (PR)","Total","Total","214","35","51","72","38","12","4","1","-","1","-","-","-","-","-"
"4105508006","Zona 6 - Cianorte (PR)","Total","Total","2230","167","582","619","534","230","63","24","7","1","2","1","-","-","-"
"4105508007","Zona 7 - Cianorte (PR)","Total","Total","2684","268","637","718","638","290","91","28","8","4","1","-","1","-","-"
"4105508008","Zona 8 - Cianorte (PR)","Total","Total","2927","207","666","813","741","340","94","38","18","7","1","1","-","-","1"
"4105706001","Centro - Clevelândia (PR)","Total","Total","503","66","146","142","103","32","12","2","-","-","-","-","-","-","-"
"4105706002","São Sebastião - Clevelândia (PR)","Total","Total","192","29","49","53","41","14","6","-","-","-","-","-","-","-","-"
"4105706003","Anita Pacheco - Clevelândia (PR)","Total","Total","136","12","41","41","30","7","4","1","-","-","-","-","-","-","-"
"4105706004","Santa Terezinha - Clevelândia (PR)","Total","Total","147","15","33","34","42","13","9","-","-","-","1","-","-","-","-"
"4105706005","Araucária - Clevelândia (PR)","Total","Total","432","35","103","111","91","51","28","8","1","4","-","-","-","-","-"
"4105706006","Soledade - Clevelândia (PR)","Total","Total","221","26","48","66","45","19","10","5","1","-","-","1","-","-","-"
"4105706007","Almoxarifado - Clevelândia (PR)","Total","Total","299","42","71","72","59","32","15","4","1","2","-","-","-","-","1"
"4105706008","São Luiz - Clevelândia (PR)","Total","Total","93","12","19","22","21","13","5","-","-","-","-","-","1","-","-"
"4105706009","Aeroporto - Clevelândia (PR)","Total","Total","460","52","111","137","84","47","17","6","3","3","-","-","-","-","-"
"4105706010","Bela Vista - Clevelândia (PR)","Total","Total","241","38","61","67","46","20","6","1","-","2","-","-","-","-","-"
"4105706011","Estrela - Clevelândia (PR)","Total","Total","365","40","87","101","78","40","10","4","3","1","-","1","-","-","-"
"4105706012","Eapi - Clevelândia (PR)","Total","Total","182","16","46","49","40","20","7","2","1","-","1","-","-","-","-"
"4105706013","Industrial - Clevelândia (PR)","Total","Total","13","3","1","5","3","-","-","1","-","-","-","-","-","-","-"
"4105706014","Jardim Brasília - Clevelândia (PR)","Total","Total","206","17","45","66","52","16","3","3","4","-","-","-","-","-","-"
"4105706015","Vale do Sol - Clevelândia (PR)","Total","Total","9","-","3","2","3","1","-","-","-","-","-","-","-","-","-"
"4105706016","Camifra - Clevelândia (PR)","Total","Total","179","16","56","52","36","13","3","1","-","1","1","-","-","-","-"
"4105706017","Bom Jesus - Clevelândia (PR)","Total","Total","78","10","17","20","11","9","7","4","-","-","-","-","-","-","-"
"4105706018","São Joaquim - Clevelândia (PR)","Total","Total","94","11","12","23","22","11","10","1","2","2","-","-","-","-","-"
"4105706019","Vila Operária - Clevelândia (PR)","Total","Total","179","20","31","52","45","21","8","-","1","1","-","-","-","-","-"
"4105706020","Vista Alegre - Clevelândia (PR)","Total","Total","184","25","29","42","36","25","17","5","3","1","-","1","-","-","-"
"4105706021","Santo Antônio - Clevelândia (PR)","Total","Total","18","4","3","8","3","-","-","-","-","-","-","-","-","-","-"
