"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"1505502","Paragominas (PA)","Total","Total","24967","22437","1977","206","335","12"
"1505536","Parauapebas (PA)","Total","Total","42726","31099","3928","5836","1863","-"
"1505551","Pau D'Arco (PA)","Total","Total","1646","1644","1","-","1","-"
"1505601","Peixe-Boi (PA)","Total","Total","2209","2208","-","1","-","-"
"1505635","Piçarra (PA)","Total","Total","3495","3428","56","3","8","-"
"1505650","Placas (PA)","Total","Total","5564","5441","101","16","6","-"
"1505700","Ponta de Pedras (PA)","Total","Total","5828","5768","44","9","7","-"
"1505809","Portel (PA)","Total","Total","9606","9231","333","35","7","-"
"1505908","Porto de Moz (PA)","Total","Total","6060","5996","27","16","21","-"
"1506005","Prainha (PA)","Total","Total","6150","6129","13","4","4","-"
"1506104","Primavera (PA)","Total","Total","2644","2636","7","-","1","-"
"1506112","Quatipuru (PA)","Total","Total","3055","3045","1","-","9","-"
"1506138","Redenção (PA)","Total","Total","19881","19682","77","86","36","-"
"1506161","Rio Maria (PA)","Total","Total","5155","5050","29","39","37","-"
"1506187","Rondon do Pará (PA)","Total","Total","12535","12245","46","155","89","-"
"1506195","Rurópolis (PA)","Total","Total","9328","9119","60","148","1","-"
"1506203","Salinópolis (PA)","Total","Total","9078","9029","25","7","17","-"
"1506302","Salvaterra (PA)","Total","Total","5070","5041","21","3","5","-"
"1506351","Santa Bárbara do Pará (PA)","Total","Total","4460","4375","76","3","6","-"
"1506401","Santa Cruz do Arari (PA)","Total","Total","1501","1500","-","1","-","-"
"1506500","Santa Izabel do Pará (PA)","Total","Total","15251","14751","446","9","45","-"
"1506559","Santa Luzia do Pará (PA)","Total","Total","4645","4622","17","1","5","-"
"1506583","Santa Maria das Barreiras (PA)","Total","Total","5141","5119","7","1","14","-"
"1506609","Santa Maria do Pará (PA)","Total","Total","6341","6262","76","-","3","-"
"1506708","Santana do Araguaia (PA)","Total","Total","13832","13581","112","1","138","-"
"1506807","Santarém (PA)","Total","Total","70015","65817","2814","1276","108","-"
"1506906","Santarém Novo (PA)","Total","Total","1547","1547","-","-","-","-"
"1507003","Santo Antônio do Tauá (PA)","Total","Total","6970","6909","52","-","9","-"
"1507102","São Caetano de Odivelas (PA)","Total","Total","4239","4217","8","-","14","-"
"1507151","São Domingos do Araguaia (PA)","Total","Total","6003","5734","242","10","17","-"
"1507201","São Domingos do Capim (PA)","Total","Total","6404","6402","1","-","1","-"
"1507300","São Félix do Xingu (PA)","Total","Total","22357","21914","241","73","129","-"
