"Tabela 3604 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país, por tempo habitual de deslocamento do domicílio para o trabalho principal, segundo a situação do domicílio e os grupos de horas habitualmente trabalhadas por semana no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país (Pessoas)"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Ano x Tempo habitual de deslocamento do domicílio para o trabalho principal x Situação do domicílio"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","2010"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Até cinco minutos","De seis minutos até meia hora","Mais de meia hora até uma hora","Mais de uma hora até duas horas","Mais de duas horas"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Total","Total","Total","Total","Total"
"1400175","Cantá (RR)","Total","531","1017","251","109","14"
"1400209","Caracaraí (RR)","Total","870","2067","249","63","89"
"1400233","Caroebe (RR)","Total","520","770","198","76","63"
"1400282","Iracema (RR)","Total","535","572","231","71","26"
"1400308","Mucajaí (RR)","Total","1018","1110","225","81","20"
"1400407","Normandia (RR)","Total","600","476","61","45","34"
"1400456","Pacaraima (RR)","Total","561","1054","121","37","10"
"1400472","Rorainópolis (RR)","Total","1519","2727","416","55","96"
"1400506","São João da Baliza (RR)","Total","519","972","91","21","2"
"1400605","São Luiz (RR)","Total","436","754","102","9","19"
"1400704","Uiramutã (RR)","Total","203","593","173","74","13"
"1500107","Abaetetuba (PA)","Total","7008","20192","4874","1411","536"
"1500131","Abel Figueiredo (PA)","Total","442","1010","159","34","21"
"1500206","Acará (PA)","Total","3112","6606","2494","509","147"
"1500305","Afuá (PA)","Total","997","1997","584","341","240"
"1500347","Água Azul do Norte (PA)","Total","1292","1563","400","73","41"
"1500404","Alenquer (PA)","Total","2453","5626","979","250","241"
"1500503","Almeirim (PA)","Total","2030","4704","1305","442","177"
"1500602","Altamira (PA)","Total","5095","18952","2227","492","320"
"1500701","Anajás (PA)","Total","1403","2582","975","264","232"
"1500800","Ananindeua (PA)","Total","10566","56315","52890","30399","2074"
"1500859","Anapu (PA)","Total","1296","2240","387","151","73"
"1500909","Augusto Corrêa (PA)","Total","1929","4973","1200","230","281"
"1500958","Aurora do Pará (PA)","Total","895","2386","355","46","27"
"1501006","Aveiro (PA)","Total","368","735","290","225","268"
